structure,time_it0,time_it1,time_itw
3J95,8.6157,44.5832,573.7158
3J96,22.0666,249.9070,5071.1701
5GRS,9.3516,54.1308,1876.7527
5HNY,4.5063,11.9082,218.1548
5WCB,5.7221,19.0031,316.6999
6ACG,12.7031,64.0323,1192.5937
6AHF,15.5986,108.9994,1052.6750
6C06,11.5052,74.5237,2020.9468
6C3P,38.7111,9926.4609,493.3620
6ENY,6.8400,20.3399,215.3743
6IRF,9.5645,42.3906,943.2506
6N1Q,12.3731,93.0659,2183.8480
6N7G,6.3550,21.7837,306.9623
6N8T,16.6135,106.1759,1136.4582
6N8Z,13.4929,89.2084,849.1489
6R7I,14.2068,136.8072,3149.3712
6UBY,8.1508,45.5811,1081.5816
6UC0,8.6377,44.6792,1445.5122
