structure,time_it0,time_it1,time_itw
3J95,8.6067,904.1985,796.6939
3J96,21.8117,4630.6150,
5GRS,9.0306,1170.2621,1509.5875
5HNY,4.4863,145.0489,309.3250
5WCB,5.5961,331.2436,416.9456
6ACG,12.5821,1015.2877,1453.6420
6AHF,14.7808,554.1588,
6C06,10.6544,1231.1558,1696.3431
6C3P,38.3472,8478.0351,479.6321
6ENY,5.6471,87.8486,
6IRF,9.5136,758.7786,1035.9615
6N1Q,12.6211,1869.7368,2115.9363
6N7G,6.2481,324.9726,533.6079
6N8T,16.8634,2158.4389,2007.5478
6N8Z,13.3450,1514.0778,1489.2936
6R7I,20.1669,2744.9597,4250.5138
6UBY,9.3256,1153.5286,1071.6961
6UC0,8.5707,942.8997,1073.6508
