structure,time_it0,time_it1,time_itw
3J95,15.6996,4567.5506,221.7513
3J96,35.7336,11048.1684,628.3365
5GRS,17.2054,10647.3404,507.5248
5HNY,6.3600,4119.3328,193.0337
5WCB,16.4355,22333.9187,1022.0906
6ACG,26.8919,25885.3658,1324.7536
6AHF,22.5986,5438.9891,290.5088
6C06,5.3882,,
6C3P,52.8100,35007.5190,
6ENY,9.1486,8811.4665,
6IRF,17.8963,18549.9530,
6N1Q,20.8088,13688.8630,
6N7G,28.0417,27386.2177,
6N8T,28.6886,9746.2953,
6N8Z,31.3342,8647.8473,399.0983
6R7I,40.4479,30948.4931,1412.3823
6UBY,3.8294,,
6UC0,3.5755,,
