structure,time_it0,time_it1,time_itw
3J95,15.7206,1765.1107,101.5506
3J96,40.5598,9172.5646,571.2402
5GRS,16.8374,2206.5006,119.8558
5HNY,5.0102,497.9883,25.2492
5WCB,9.4706,925.5413,47.3608
6ACG,20.2319,2459.7251,150.6981
6AHF,25.4341,3444.0334,
6C06,20.7408,1572.6689,
6C3P,53.3499,8872.0212,488.0758
6ENY,6.7770,739.5196,40.1739
6IRF,14.3348,1682.3742,92.0360
6N1Q,20.2069,2757.2668,175.5723
6N7G,20.2779,3998.7601,167.9115
6N8T,31.7372,3852.1014,
6N8Z,24.2153,2873.7611,178.4479
6R7I,28.2597,4678.5348,262.8260
6UBY,12.6461,1565.6640,98.1711
6UC0,13.5129,1846.9482,109.8063
