structure,time_it0,time_it1,time_itw
3J95,13.4270,2246.8294,97.2032
3J96,29.3145,10069.8272,442.8907
5GRS,13.3480,1933.3371,113.0238
5HNY,5.2042,589.4334,25.5931
5WCB,7.3599,818.6755,43.4344
6ACG,15.1077,2392.2653,118.8119
6AHF,21.4887,3144.8929,184.0070
6C06,15.1877,190.3071,134.9495
6C3P,44.3533,7125.7077,436.9256
6ENY,6.1691,725.7307,39.5610
6IRF,12.6581,1730.5029,88.9095
6N1Q,16.6475,2634.4465,199.2047
6N7G,9.0106,1086.7888,50.2734
6N8T,23.9274,3754.3992,244.0799
6N8Z,19.0001,3040.1388,171.1320
6R7I,20.5329,3957.8333,248.8192
6UBY,10.0875,1604.9080,98.3650
6UC0,10.9543,1729.6071,130.7031
