structure,time_it0,time_it1,time_itw
3J95,14.9567,4493.6819,224.0209
3J96,31.0363,12418.8191,602.3314
5GRS,16.3105,12061.2724,517.4833
5HNY,6.2041,4251.9196,213.9985
5WCB,16.2365,23271.8031,
6ACG,25.6331,29047.5811,
6AHF,22.4936,7148.2683,293.2234
6C06,2.5816,,
6C3P,50.9593,35990.6026,1695.1523
6ENY,8.7377,8740.2873,395.5619
6IRF,17.3764,17472.0688,798.5616
6N1Q,,13670.6857,652.1719
6N7G,29.3265,27048.0521,
6N8T,25.8061,9704.3357,
6N8Z,20.7019,8016.8163,400.1572
6R7I,29.6045,30315.1114,
6UBY,1.6368,,
6UC0,1.6877,,
