structure,time_it0,time_it1,time_itw
3J95,13.9809,1690.8070,97.2932
3J96,34.1138,8195.1761,470.9694
5GRS,14.6018,2278.0557,119.4448
5HNY,4.7493,467.6739,24.4273
5WCB,8.0158,857.2317,44.4382
6ACG,16.8634,2604.5790,127.6066
6AHF,21.8767,248.7522,178.7398
6C06,16.9284,2421.0919,
6C3P,43.4394,9415.1967,509.0306
6ENY,6.3360,257.9718,
6IRF,13.2720,1630.9861,88.6305
6N1Q,17.8713,3268.1662,175.7043
6N7G,19.4640,3021.0747,170.6581
6N8T,26.9879,3571.5010,223.1041
6N8Z,20.9668,2821.0751,173.5616
6R7I,23.5544,4545.1570,253.3285
6UBY,11.7232,1677.2890,95.8714
6UC0,12.3961,1774.9972,111.4191
