structure,time_it0,time_it1,time_itw
3J95,16.3085,2779.1705,97.2102
3J96,35.7866,9265.6464,497.1434
5GRS,16.5115,2787.4602,115.8144
5HNY,4.8503,486.4970,28.9116
5WCB,11.1473,929.5127,51.2692
6ACG,17.3124,2247.9283,124.5321
6AHF,23.2305,249.1301,237.5069
6C06,17.3514,2393.5451,
6C3P,48.9896,8227.1633,
6ENY,6.5810,772.0306,45.5671
6IRF,13.7119,1739.8735,90.9372
6N1Q,18.4512,3231.7377,173.2017
6N7G,8.3827,1000.1570,50.0954
6N8T,28.0687,3706.1546,
6N8Z,21.7947,4103.3332,
6R7I,24.8002,12136.7289,251.6117
6UBY,12.3981,2180.6475,115.0785
6UC0,12.8121,2475.0217,122.2924
