structure,HADDOCK-score,correlation,atomic-clashes
5GRS_10w.pdb,-2816.3282,,0
5GRS_11w.pdb,-2809.4316,,0
5GRS_12w.pdb,-2833.709,,0
5GRS_13w.pdb,-2816.3282,,0
5GRS_14w.pdb,-2816.3282,,0
5GRS_15w.pdb,-2854.0991,,0
5GRS_16w.pdb,-2816.3282,,0
5GRS_17w.pdb,-2826.59,,0
5GRS_18w.pdb,-2851.9611,,0
5GRS_19w.pdb,-2816.3954,,0
5GRS_1w.pdb,-2859.6138,,0
5GRS_20w.pdb,-2849.5029,,0
5GRS_21w.pdb,-2850.5411,,0
5GRS_22w.pdb,-2856.2255,,0
5GRS_23w.pdb,-2845.3065,,0
5GRS_24w.pdb,-2838.6067,,0
5GRS_25w.pdb,-2829.2526,,0
5GRS_26w.pdb,-2899.3237,,0
5GRS_27w.pdb,-2848.839,,0
5GRS_28w.pdb,-2900.5208,,0
5GRS_29w.pdb,-2889.6918,,0
5GRS_2w.pdb,-2857.3376,,0
5GRS_30w.pdb,-2877.5722,,0
5GRS_31w.pdb,-2816.3282,,0
5GRS_32w.pdb,-2813.6585,,0
5GRS_33w.pdb,-2831.8012,,0
5GRS_34w.pdb,-2816.3282,,0
5GRS_35w.pdb,-2812.9604,,0
5GRS_36w.pdb,-2767.8153,,0
5GRS_37w.pdb,-2909.8103,,0
5GRS_38w.pdb,-2820.6519,,0
5GRS_39w.pdb,-2816.3282,,0
5GRS_3w.pdb,-2815.741,,0
5GRS_40w.pdb,-2796.2909,,0
5GRS_41w.pdb,-2842.6519,,0
5GRS_42w.pdb,-2882.5162,,0
5GRS_43w.pdb,-2839.3665,,0
5GRS_44w.pdb,-2828.6824,,0
5GRS_45w.pdb,-2811.465,,0
5GRS_46w.pdb,-2836.2291,,0
5GRS_47w.pdb,-2863.0148,,0
5GRS_48w.pdb,-2816.3282,,0
5GRS_49w.pdb,-2800.568,,0
5GRS_4w.pdb,-2778.5259,,0
5GRS_50w.pdb,-2871.3653,,0
5GRS_5w.pdb,-2855.2112,,0
5GRS_6w.pdb,-2834.3163,,0
5GRS_7w.pdb,-2843.4941,,0
5GRS_8w.pdb,-2861.8031,,0
5GRS_9w.pdb,-2853.4686,,0
