structure,HADDOCK-score,correlation,atomic-clashes
6N1Q_10w.pdb,2298.406,0.8889,22
6N1Q_11w.pdb,5673.50677,0.8944,43
6N1Q_12w.pdb,3985.633,0.8888,32
6N1Q_13w.pdb,5619.59639,0.9049,44
6N1Q_14w.pdb,5620.81109,0.8878,44
6N1Q_15w.pdb,3971.4922,0.894,33
6N1Q_16w.pdb,5583.51728,0.8907,43
6N1Q_17w.pdb,2178.7591,0.8908,22
6N1Q_18w.pdb,3933.47035,0.8949,33
6N1Q_19w.pdb,2231.5964,0.8915,23
6N1Q_1w.pdb,3825.9511,0.8965,32
6N1Q_20w.pdb,5598.1465,0.893,43
6N1Q_21w.pdb,5573.48767,0.895,44
6N1Q_22w.pdb,2235.3413,0.8913,22
6N1Q_23w.pdb,5595.81271,0.8949,43
6N1Q_24w.pdb,4010.8077,0.891,32
6N1Q_25w.pdb,3904.5266,0.8902,31
6N1Q_26w.pdb,5598.67341,0.8915,43
6N1Q_27w.pdb,3961.3974,0.8941,33
6N1Q_28w.pdb,5594.55388,0.8935,45
6N1Q_29w.pdb,5582.31013,0.8951,44
6N1Q_2w.pdb,3927.6601,0.8866,32
6N1Q_30w.pdb,3967.6648,0.8914,33
6N1Q_31w.pdb,5657.26019,0.897,43
6N1Q_32w.pdb,5665.86813,0.8936,43
6N1Q_33w.pdb,3960.9231,0.8913,33
6N1Q_34w.pdb,551.8343,0.8885,11
6N1Q_35w.pdb,3877.7853,0.8926,31
6N1Q_36w.pdb,5584.89474,0.8912,44
6N1Q_37w.pdb,5650.01717,0.8853,45
6N1Q_38w.pdb,3935.0511,0.8928,35
6N1Q_39w.pdb,3911.4594,0.893,33
6N1Q_3w.pdb,4011.9011,0.8892,33
6N1Q_40w.pdb,5536.24566,0.9049,44
6N1Q_41w.pdb,2360.4394,0.8888,23
6N1Q_42w.pdb,5506.52464,0.8954,44
6N1Q_43w.pdb,4039.7109,0.8845,33
6N1Q_44w.pdb,5662.8769,0.8869,45
6N1Q_45w.pdb,5660.8806,0.8882,43
6N1Q_46w.pdb,3956.8834,0.8911,32
6N1Q_47w.pdb,3958.7355,0.8931,33
6N1Q_48w.pdb,5588.07923,0.8872,43
6N1Q_49w.pdb,5707.41192,0.8943,42
6N1Q_4w.pdb,3949.366,0.8915,32
6N1Q_50w.pdb,547.7029,0.8924,10
6N1Q_5w.pdb,2282.9805,0.8893,21
6N1Q_6w.pdb,3954.9822,0.8916,32
6N1Q_7w.pdb,2176.273,0.8939,21
6N1Q_8w.pdb,5687.64441,0.9055,44
6N1Q_9w.pdb,3990.0198,0.8864,33
