structure,HADDOCK-score,correlation
5WCB_1.pdb,,0.899
5WCB_10.pdb,,0.8991
5WCB_11.pdb,,0.8964
5WCB_12.pdb,,0.9029
5WCB_13.pdb,,0.8978
5WCB_14.pdb,,0.8987
5WCB_15.pdb,,0.9002
5WCB_17.pdb,,0.8997
5WCB_18.pdb,,0.8996
5WCB_19.pdb,,0.8991
5WCB_2.pdb,,0.8949
5WCB_21.pdb,,0.8976
5WCB_22.pdb,,0.8957
5WCB_23.pdb,,0.8967
5WCB_24.pdb,,0.9009
5WCB_25.pdb,,0.8994
5WCB_26.pdb,,0.8967
5WCB_27.pdb,,0.8964
5WCB_28.pdb,,0.9016
5WCB_29.pdb,,0.8964
5WCB_3.pdb,,0.8961
5WCB_30.pdb,,0.8987
5WCB_31.pdb,,0.8976
5WCB_32.pdb,,0.902
5WCB_33.pdb,,0.9006
5WCB_34.pdb,,0.9006
5WCB_35.pdb,,0.8979
5WCB_37.pdb,,0.8993
5WCB_38.pdb,,0.8996
5WCB_39.pdb,,0.8969
5WCB_4.pdb,,0.899
5WCB_41.pdb,,0.8976
5WCB_42.pdb,,0.8959
5WCB_43.pdb,,0.8929
5WCB_44.pdb,,0.8971
5WCB_45.pdb,,0.898
5WCB_46.pdb,,0.8976
5WCB_47.pdb,,0.8957
5WCB_49.pdb,,0.8958
5WCB_5.pdb,,0.8984
5WCB_50.pdb,,0.9006
5WCB_6.pdb,,0.897
5WCB_7.pdb,,0.8983
5WCB_9.pdb,,0.9007
