structure,HADDOCK-score,atomic-clashes
6ACG_1.pdb,-2391.856,0
6ACG_10.pdb,-2253.445,1
6ACG_11.pdb,-2252.313,4
6ACG_12.pdb,-2272.084,1
6ACG_13.pdb,-2172.438,0
6ACG_14.pdb,-2514.254,5
6ACG_15.pdb,-2378.094,1
6ACG_16.pdb,-2214.357,3
6ACG_17.pdb,-2530.705,3
6ACG_18.pdb,-2444.07,4
6ACG_19.pdb,-2482.438,4
6ACG_2.pdb,-2389.135,2
6ACG_20.pdb,-2185.377,1
6ACG_21.pdb,-2405.728,1
6ACG_22.pdb,-2337.784,6
6ACG_23.pdb,-2190.843,3
6ACG_24.pdb,-2214.974,1
6ACG_25.pdb,-2240.264,4
6ACG_26.pdb,-2266.997,1
6ACG_27.pdb,-2015.125,4
6ACG_28.pdb,-2381.841,3
6ACG_29.pdb,-2239.38,1
6ACG_3.pdb,-2163.255,4
6ACG_30.pdb,-2143.543,1
6ACG_31.pdb,-2373.813,1
6ACG_32.pdb,-2386.234,5
6ACG_33.pdb,-2373.009,6
6ACG_34.pdb,-2566.844,2
6ACG_35.pdb,-2078.147,2
6ACG_36.pdb,-2399.812,2
6ACG_37.pdb,-2333.925,0
6ACG_38.pdb,-2343.559,5
6ACG_39.pdb,-2481.95,1
6ACG_4.pdb,-2391.795,6
6ACG_40.pdb,-2149.658,1
6ACG_41.pdb,-2366.786,3
6ACG_42.pdb,-2383.472,3
6ACG_43.pdb,-2505.439,3
6ACG_44.pdb,-2458.769,5
6ACG_45.pdb,-2391.702,3
6ACG_46.pdb,-2430.85,2
6ACG_47.pdb,-2184.11,3
6ACG_48.pdb,-2512.358,1
6ACG_49.pdb,-2416.611,3
6ACG_5.pdb,-2443.523,4
6ACG_50.pdb,-2328.538,2
6ACG_6.pdb,-2419.007,5
6ACG_7.pdb,-2466.67,2
6ACG_8.pdb,-1969.903,6
6ACG_9.pdb,-2697.24,1
