structure,HADDOCK-score,correlation
6R7I_1.pdb,-2673.957,0.8558
6R7I_10.pdb,-2842.309,0.855
6R7I_11.pdb,-4436.825,0.8597
6R7I_12.pdb,-2547.302,0.8566
6R7I_13.pdb,-2763.214,0.8605
6R7I_14.pdb,-4211.884,0.848
6R7I_15.pdb,-2706.25,0.8507
6R7I_16.pdb,-2754.851,0.8577
6R7I_17.pdb,-2659.165,0.8553
6R7I_18.pdb,-2714.145,0.8492
6R7I_19.pdb,-2688.375,0.8529
6R7I_2.pdb,-2575.453,0.8472
6R7I_20.pdb,-3110.183,0.8574
6R7I_21.pdb,-2607.107,0.8485
6R7I_22.pdb,-2841.849,0.8543
6R7I_23.pdb,-2668.931,0.8524
6R7I_24.pdb,-4051.987,0.8543
6R7I_25.pdb,-2592.166,0.8364
6R7I_26.pdb,-2809.362,0.8577
6R7I_27.pdb,-2660.371,0.8513
6R7I_28.pdb,-2851.747,0.8598
6R7I_29.pdb,-2666.356,0.8552
6R7I_3.pdb,-2750.442,0.854
6R7I_30.pdb,-2769.004,0.853
6R7I_31.pdb,-2583.479,0.8504
6R7I_32.pdb,-2654.518,0.8496
6R7I_33.pdb,-2733.701,0.8557
6R7I_34.pdb,-2831.124,0.8561
6R7I_35.pdb,-2661.004,0.8531
6R7I_36.pdb,-2838.613,0.8585
6R7I_37.pdb,-2948.149,0.8597
6R7I_38.pdb,-2799.537,0.8595
6R7I_39.pdb,-2940.479,0.8565
6R7I_4.pdb,-2992.143,0.863
6R7I_40.pdb,-2554.436,0.8493
6R7I_41.pdb,-2749.486,0.8594
6R7I_42.pdb,-2831.292,0.8512
6R7I_43.pdb,-2670.19,0.8566
6R7I_44.pdb,-2822.832,0.8539
6R7I_45.pdb,-2478.095,0.8474
6R7I_46.pdb,3434.369,0.8054
6R7I_47.pdb,-4514.268,0.857
6R7I_48.pdb,-2493.56,0.8516
6R7I_49.pdb,-2769.151,0.8481
6R7I_5.pdb,-2736.356,0.8527
6R7I_50.pdb,-2899.819,0.8567
6R7I_6.pdb,-2763.98,0.8534
6R7I_7.pdb,-2848.3,0.8541
6R7I_8.pdb,-2653.11,0.8573
6R7I_9.pdb,-2854.537,0.8547
