structure,HADDOCK-score,correlation
6N8Z_1.pdb,-5387.759,0.9283
6N8Z_10.pdb,-5133.145,0.9286
6N8Z_11.pdb,-5533.5907,0.93
6N8Z_12.pdb,-5304.1293,0.9297
6N8Z_13.pdb,-5567.6601,0.9304
6N8Z_14.pdb,-4535.0881,0.9292
6N8Z_15.pdb,-4836.0965,0.9238
6N8Z_16.pdb,-4445.9292,0.9291
6N8Z_17.pdb,-4967.9697,0.93
6N8Z_18.pdb,-5155.5296,0.9294
6N8Z_19.pdb,-5183.3644,0.929
6N8Z_2.pdb,-5242.8922,0.9301
6N8Z_20.pdb,-5495.656,0.929
6N8Z_21.pdb,-4499.7993,0.9272
6N8Z_22.pdb,-4995.6744,0.9286
6N8Z_23.pdb,-5154.4564,0.9297
6N8Z_24.pdb,-4917.1565,0.9267
6N8Z_25.pdb,-4972.2926,0.9268
6N8Z_26.pdb,-4243.2639,0.9258
6N8Z_27.pdb,-4894.6961,0.9279
6N8Z_28.pdb,-4639.0139,0.9298
6N8Z_29.pdb,-4797.7293,0.9291
6N8Z_3.pdb,-4555.9569,0.9269
6N8Z_30.pdb,-4480.78329,0.9322
6N8Z_31.pdb,-5132.7978,0.9274
6N8Z_32.pdb,-4698.362,0.9285
6N8Z_33.pdb,-4814.1737,0.9271
6N8Z_34.pdb,-4824.4155,0.925
6N8Z_35.pdb,-5030.1303,0.9287
6N8Z_36.pdb,-4611.3328,0.9271
6N8Z_37.pdb,-4859.0652,0.9291
6N8Z_38.pdb,-5042.3495,0.9293
6N8Z_39.pdb,-5138.3965,0.9282
6N8Z_4.pdb,-4666.8797,0.9288
6N8Z_40.pdb,-4881.9758,0.9297
6N8Z_41.pdb,-4953.6885,0.9282
6N8Z_42.pdb,-4964.1436,0.927
6N8Z_43.pdb,-4797.7,0.9274
6N8Z_44.pdb,-4624.6578,0.9269
6N8Z_45.pdb,-4870.1944,0.9273
6N8Z_46.pdb,-5193.4584,0.9276
6N8Z_47.pdb,-5484.589,0.9292
6N8Z_48.pdb,-4870.5138,0.9302
6N8Z_49.pdb,-4767.1255,0.928
6N8Z_5.pdb,-4767.5506,0.9287
6N8Z_50.pdb,-5434.9647,0.9301
6N8Z_6.pdb,-4838.1201,0.9299
6N8Z_7.pdb,-4695.6777,0.9286
6N8Z_8.pdb,-5531.8772,0.9307
6N8Z_9.pdb,-4563.699,0.9255
