structure,HADDOCK-score,correlation,atomic-clashes
3J95_10w.pdb,-1248.6893,0.932,0
3J95_11w.pdb,-1262.3294,0.9321,0
3J95_12w.pdb,-1272.4095,0.9305,0
3J95_13w.pdb,-1278.0738,0.9321,0
3J95_14w.pdb,-1242.367,0.9314,1
3J95_15w.pdb,-1220.2529,0.9318,0
3J95_16w.pdb,-1199.4337,0.9326,1
3J95_17w.pdb,-1331.9987,0.9323,0
3J95_18w.pdb,-1284.2615,0.9324,1
3J95_19w.pdb,-1264.9469,0.9316,0
3J95_1w.pdb,-1266.9623,0.9312,0
3J95_20w.pdb,-1263.3215,0.9318,1
3J95_21w.pdb,-1249.8918,0.9307,0
3J95_22w.pdb,-1274.9059,0.9312,0
3J95_23w.pdb,-1208.7317,0.9301,0
3J95_24w.pdb,-1240.9422,0.9307,0
3J95_25w.pdb,-1259.2172,0.9308,0
3J95_26w.pdb,-1292.7625,0.9321,2
3J95_27w.pdb,-1217.7891,0.9313,0
3J95_28w.pdb,-1202.7557,0.9309,0
3J95_29w.pdb,-1216.36447,0.9311,0
3J95_2w.pdb,-1330.47188,0.9321,1
3J95_30w.pdb,-1270.1736,0.9314,1
3J95_31w.pdb,-1240.7736,0.9314,1
3J95_32w.pdb,-1266.2905,0.9324,0
3J95_33w.pdb,-1206.8364,0.9302,1
3J95_34w.pdb,-1213.3773,0.9318,0
3J95_35w.pdb,-1273.5014,0.9316,0
3J95_36w.pdb,-1331.106,0.9307,0
3J95_37w.pdb,-1204.3459,0.931,1
3J95_38w.pdb,-1325.2725,0.9314,1
3J95_39w.pdb,-1209.7647,0.9317,2
3J95_3w.pdb,-1261.3879,0.9328,0
3J95_40w.pdb,-1172.4423,0.9299,0
3J95_41w.pdb,-1216.2214,0.9296,1
3J95_42w.pdb,-1235.672,0.9314,0
3J95_43w.pdb,-1246.8746,0.9321,1
3J95_44w.pdb,-1282.5585,0.9317,0
3J95_45w.pdb,-1227.4314,0.9309,0
3J95_46w.pdb,-1320.97,0.9314,2
3J95_47w.pdb,-1325.1761,0.933,0
3J95_48w.pdb,-1325.2567,0.9316,0
3J95_49w.pdb,-1179.6153,0.9295,0
3J95_4w.pdb,-1302.6645,0.9306,0
3J95_50w.pdb,-1284.1612,0.9324,0
3J95_5w.pdb,-1229.9283,0.9318,2
3J95_6w.pdb,-1181.5211,0.9299,0
3J95_7w.pdb,-1244.0941,0.9318,2
3J95_8w.pdb,-921.77712,0.9305,1
3J95_9w.pdb,-1211.2429,0.9317,0
