structure,HADDOCK-score,correlation,atomic-clashes
6N7G_10w.pdb,-965.61334,0.9116,0
6N7G_11w.pdb,-988.98793,0.9128,0
6N7G_12w.pdb,-959.983081,0.9148,1
6N7G_13w.pdb,-894.88471,0.9128,0
6N7G_14w.pdb,-969.4298,0.9128,0
6N7G_15w.pdb,-922.04899,0.9116,0
6N7G_16w.pdb,-898.81589,0.9137,0
6N7G_17w.pdb,-901.915595,0.9142,0
6N7G_18w.pdb,-920.2992,0.9128,0
6N7G_19w.pdb,-930.929095,0.9132,0
6N7G_1w.pdb,-855.189418,0.9135,0
6N7G_20w.pdb,-943.59026,0.9144,0
6N7G_21w.pdb,-936.023968,0.9142,0
6N7G_22w.pdb,-893.62233,0.912,0
6N7G_23w.pdb,-986.69992,0.9139,0
6N7G_24w.pdb,-995.253413,0.915,0
6N7G_25w.pdb,-984.148568,0.9148,0
6N7G_26w.pdb,-968.38783,0.9148,0
6N7G_27w.pdb,-948.84847,0.9135,0
6N7G_28w.pdb,-871.92712,0.9121,0
6N7G_29w.pdb,-919.739498,0.9117,0
6N7G_2w.pdb,-775.63624,0.9095,0
6N7G_30w.pdb,-958.07789,0.9152,0
6N7G_31w.pdb,-951.496316,0.9144,0
6N7G_32w.pdb,-865.12195,0.9123,1
6N7G_33w.pdb,-945.439254,0.9121,0
6N7G_34w.pdb,-909.035124,0.9139,0
6N7G_35w.pdb,-959.537842,0.9129,0
6N7G_36w.pdb,-837.83952,0.9128,0
6N7G_37w.pdb,-991.078109,0.9136,0
6N7G_38w.pdb,-972.53902,0.9117,0
6N7G_39w.pdb,-1000.455755,0.9122,0
6N7G_3w.pdb,-956.69535,0.9142,0
6N7G_40w.pdb,-863.05493,0.9134,0
6N7G_41w.pdb,-886.75271,0.9119,0
6N7G_42w.pdb,-796.86795,0.9097,0
6N7G_43w.pdb,-863.5703,0.9096,0
6N7G_44w.pdb,-883.92951,0.9106,0
6N7G_45w.pdb,-922.03444,0.9123,0
6N7G_46w.pdb,-922.53625,0.9148,1
6N7G_47w.pdb,-910.01848,0.9153,0
6N7G_48w.pdb,-1040.746299,0.9149,0
6N7G_49w.pdb,-995.70646,0.9137,0
6N7G_4w.pdb,-928.766766,0.9139,0
6N7G_50w.pdb,-912.647534,0.9147,0
6N7G_5w.pdb,-902.460206,0.9139,0
6N7G_6w.pdb,-930.278757,0.9144,0
6N7G_7w.pdb,-983.07209,0.9144,0
6N7G_8w.pdb,-884.182847,0.9117,0
6N7G_9w.pdb,-1002.364853,0.9141,0
