structure,HADDOCK-score,correlation
6N7G_1.pdb,-2141.34326,0.9148
6N7G_10.pdb,-2255.68655,0.915
6N7G_11.pdb,-2287.53986,0.9173
6N7G_12.pdb,-2122.3457,0.9142
6N7G_13.pdb,-2245.98523,0.9161
6N7G_14.pdb,-2353.2705,0.9177
6N7G_15.pdb,-2129.42382,0.9146
6N7G_16.pdb,-2193.82891,0.9178
6N7G_17.pdb,-2182.518,0.9152
6N7G_18.pdb,-2228.37677,0.9136
6N7G_19.pdb,-2136.39844,0.9134
6N7G_2.pdb,-2102.1752,0.9151
6N7G_20.pdb,-2138.41123,0.9174
6N7G_21.pdb,-2293.54518,0.9133
6N7G_22.pdb,-2125.03229,0.9159
6N7G_23.pdb,-2098.31938,0.9151
6N7G_24.pdb,-2091.64762,0.9171
6N7G_25.pdb,-2276.7932,0.9145
6N7G_26.pdb,-2220.90414,0.9161
6N7G_27.pdb,-2233.56908,0.9132
6N7G_28.pdb,-2200.8504,0.9146
6N7G_29.pdb,-2433.36554,0.9161
6N7G_3.pdb,-2511.05775,0.9168
6N7G_30.pdb,-2142.3848,0.9115
6N7G_31.pdb,-2116.32841,0.9133
6N7G_32.pdb,-2236.76559,0.9139
6N7G_33.pdb,-2104.41836,0.9149
6N7G_34.pdb,-2329.12814,0.9173
6N7G_35.pdb,-2387.93525,0.9148
6N7G_36.pdb,-2389.89985,0.9153
6N7G_37.pdb,-2063.6584,0.9153
6N7G_38.pdb,-2162.72889,0.9156
6N7G_39.pdb,-2108.87916,0.9151
6N7G_4.pdb,-2192.67023,0.9159
6N7G_40.pdb,-2306.08121,0.9181
6N7G_41.pdb,-2310.92901,0.9175
6N7G_42.pdb,-2159.8102,0.9161
6N7G_43.pdb,-1762.5187,0.914
6N7G_44.pdb,-2345.5364,0.9145
6N7G_45.pdb,-2238.6105,0.9164
6N7G_46.pdb,-2235.00294,0.9159
6N7G_47.pdb,-2233.19075,0.9158
6N7G_48.pdb,-2400.85443,0.9148
6N7G_49.pdb,-2292.10758,0.917
6N7G_5.pdb,-2250.30991,0.9172
6N7G_50.pdb,-2171.4521,0.915
6N7G_6.pdb,-2089.50435,0.915
6N7G_7.pdb,-2035.4153,0.9158
6N7G_8.pdb,-2322.00473,0.9163
6N7G_9.pdb,-2200.23617,0.9136
