structure,HADDOCK-score,atomic-clashes
5GRS_1.pdb,-4047.07178,5
5GRS_10.pdb,-4110.1378,8
5GRS_11.pdb,-4003.96533,5
5GRS_12.pdb,-3975.9346,9
5GRS_13.pdb,-4054.16349,3
5GRS_14.pdb,-4079.52809,7
5GRS_15.pdb,-4234.37574,6
5GRS_16.pdb,-3988.84285,2
5GRS_17.pdb,-4142.95352,4
5GRS_18.pdb,-3883.16202,1
5GRS_19.pdb,-4009.3003,4
5GRS_2.pdb,-3842.85499,8
5GRS_20.pdb,-4117.05815,7
5GRS_21.pdb,-4123.01348,9
5GRS_22.pdb,-3869.6755,7
5GRS_23.pdb,-4066.8596,7
5GRS_24.pdb,-4354.47749,5
5GRS_25.pdb,-3943.26347,6
5GRS_26.pdb,-3889.43016,5
5GRS_27.pdb,-4151.76601,4
5GRS_28.pdb,-3982.662,6
5GRS_29.pdb,-3630.2407,4
5GRS_3.pdb,-3898.64638,3
5GRS_30.pdb,-4205.3281,8
5GRS_31.pdb,-3879.33053,7
5GRS_32.pdb,-4120.39127,5
5GRS_33.pdb,-4026.82053,7
5GRS_34.pdb,-3696.21149,3
5GRS_35.pdb,-4116.9995,6
5GRS_36.pdb,-4157.48391,8
5GRS_37.pdb,-3902.71992,5
5GRS_38.pdb,-4174.82311,6
5GRS_39.pdb,-3908.7494,6
5GRS_4.pdb,-4193.04258,8
5GRS_40.pdb,-4149.16601,7
5GRS_41.pdb,-4147.0036,7
5GRS_42.pdb,-3918.7833,5
5GRS_43.pdb,-4056.0376,6
5GRS_44.pdb,-3783.621,9
5GRS_45.pdb,-4126.9149,5
5GRS_46.pdb,-4101.73232,4
5GRS_47.pdb,-4104.15945,8
5GRS_48.pdb,-4019.9547,7
5GRS_49.pdb,-3951.07035,6
5GRS_5.pdb,-3953.80459,10
5GRS_50.pdb,-3855.73603,6
5GRS_6.pdb,-3790.4127,7
5GRS_7.pdb,-3950.81647,5
5GRS_8.pdb,-4219.57785,3
5GRS_9.pdb,-3917.9612,6
