structure,HADDOCK-score,atomic-clashes
5GRS_1.pdb,-4070.34847,7
5GRS_10.pdb,-4233.11385,7
5GRS_11.pdb,-3995.11155,6
5GRS_12.pdb,-4062.35124,2
5GRS_13.pdb,-4187.66991,7
5GRS_14.pdb,-4240.27732,6
5GRS_15.pdb,-4134.26277,3
5GRS_16.pdb,-4077.40931,5
5GRS_17.pdb,-4047.45423,6
5GRS_18.pdb,-4039.82661,6
5GRS_19.pdb,-4134.24187,6
5GRS_2.pdb,-4079.60359,4
5GRS_20.pdb,-4224.9396,5
5GRS_21.pdb,-4052.3138,4
5GRS_22.pdb,-4074.05096,5
5GRS_23.pdb,-4030.55042,6
5GRS_24.pdb,-4045.7643,4
5GRS_25.pdb,-4309.7779,6
5GRS_26.pdb,-4075.75177,3
5GRS_27.pdb,-4296.04943,8
5GRS_28.pdb,-4083.62968,6
5GRS_29.pdb,-4184.32593,4
5GRS_3.pdb,-4152.39086,7
5GRS_30.pdb,-3852.43113,7
5GRS_31.pdb,-4171.5008,6
5GRS_32.pdb,-4041.12947,7
5GRS_33.pdb,-4081.6605,5
5GRS_34.pdb,-4034.78666,5
5GRS_35.pdb,-4007.91578,5
5GRS_36.pdb,-3970.49995,8
5GRS_37.pdb,-4020.25387,3
5GRS_38.pdb,-3905.86887,5
5GRS_39.pdb,-4254.44855,5
5GRS_4.pdb,-3816.15039,4
5GRS_40.pdb,-4301.22356,4
5GRS_41.pdb,-4210.00506,3
5GRS_42.pdb,-4018.40027,4
5GRS_43.pdb,-4257.76689,5
5GRS_44.pdb,-4303.16084,8
5GRS_45.pdb,-4277.27669,6
5GRS_46.pdb,-3830.77126,3
5GRS_47.pdb,-4142.00678,6
5GRS_48.pdb,-4090.2295,5
5GRS_49.pdb,-4014.10103,6
5GRS_5.pdb,-3905.67058,4
5GRS_50.pdb,-4258.44068,4
5GRS_6.pdb,-4229.83957,5
5GRS_7.pdb,-4262.39326,3
5GRS_8.pdb,-3866.77777,5
5GRS_9.pdb,-3729.51533,7
