structure,HADDOCK-score,atomic-clashes
5WCB_1.pdb,-2092.2184,5
5WCB_10.pdb,-2010.5734,4
5WCB_11.pdb,-2015.6224,4
5WCB_12.pdb,-2091.4782,4
5WCB_13.pdb,-1954.4699,2
5WCB_14.pdb,-1917.9584,5
5WCB_15.pdb,-2124.8068,3
5WCB_16.pdb,-2137.9959,5
5WCB_17.pdb,-2025.6234,2
5WCB_18.pdb,-2081.7199,4
5WCB_19.pdb,-2125.4691,6
5WCB_2.pdb,-1986.8662,6
5WCB_20.pdb,-2309.0284,5
5WCB_21.pdb,-2105.518,4
5WCB_22.pdb,-2005.8544,2
5WCB_23.pdb,-2128.2116,4
5WCB_24.pdb,-1970.9639,4
5WCB_25.pdb,-2067.5813,2
5WCB_26.pdb,-2088.2951,4
5WCB_27.pdb,-2026.4202,2
5WCB_28.pdb,-2222.42298,4
5WCB_29.pdb,-2173.906,5
5WCB_3.pdb,-2111.6225,4
5WCB_30.pdb,-2017.6303,3
5WCB_31.pdb,-2112.9861,2
5WCB_32.pdb,-2170.8645,4
5WCB_33.pdb,-2089.6498,2
5WCB_34.pdb,-2056.7138,6
5WCB_35.pdb,-2097.263,3
5WCB_36.pdb,-1922.1161,3
5WCB_37.pdb,-1933.758,3
5WCB_38.pdb,-2078.8968,3
5WCB_39.pdb,-2078.6404,3
5WCB_4.pdb,-1982.6096,3
5WCB_40.pdb,-2102.5487,4
5WCB_41.pdb,-2094.9704,4
5WCB_42.pdb,-1983.3954,4
5WCB_43.pdb,-2082.9751,2
5WCB_44.pdb,-2020.0369,4
5WCB_45.pdb,-2152.4045,2
5WCB_46.pdb,-1943.32639,3
5WCB_47.pdb,-2008.6576,3
5WCB_48.pdb,-1987.7137,4
5WCB_49.pdb,-2173.1348,3
5WCB_5.pdb,-2073.50942,4
5WCB_50.pdb,-2080.3432,3
5WCB_6.pdb,-2198.0138,4
5WCB_7.pdb,-2016.0613,4
5WCB_8.pdb,-1916.5457,1
5WCB_9.pdb,-2236.7125,2
