structure,HADDOCK-score,correlation
6N8Z_1.pdb,-4655.5823,0.9246
6N8Z_10.pdb,-4652.5006,0.9244
6N8Z_11.pdb,-4470.0668,0.9253
6N8Z_12.pdb,-4075.7557,0.9227
6N8Z_13.pdb,-4278.6479,0.924
6N8Z_14.pdb,-3881.9919,0.9229
6N8Z_15.pdb,-4419.1695,0.926
6N8Z_16.pdb,-4350.1351,0.9251
6N8Z_17.pdb,-4078.7755,0.9264
6N8Z_18.pdb,-4754.7822,0.9262
6N8Z_19.pdb,-4604.6055,0.9266
6N8Z_2.pdb,-3975.5966,0.9255
6N8Z_20.pdb,-4568.5932,0.9246
6N8Z_21.pdb,-4250.5071,0.9249
6N8Z_22.pdb,-3614.423,0.9295
6N8Z_23.pdb,-4379.235,0.9254
6N8Z_24.pdb,-4586.1644,0.9266
6N8Z_25.pdb,-4886.581,0.9254
6N8Z_26.pdb,-4331.284,0.9257
6N8Z_27.pdb,-4557.6126,0.9273
6N8Z_28.pdb,-4223.6308,0.9234
6N8Z_29.pdb,-4562.6407,0.9245
6N8Z_3.pdb,-4135.1264,0.925
6N8Z_30.pdb,-4312.4721,0.9256
6N8Z_31.pdb,-4228.679,0.9273
6N8Z_32.pdb,-4199.382,0.9271
6N8Z_33.pdb,-4278.573,0.9176
6N8Z_34.pdb,-4892.0542,0.927
6N8Z_35.pdb,-4290.7119,0.924
6N8Z_36.pdb,-4307.8073,0.9259
6N8Z_37.pdb,-4679.5941,0.9274
6N8Z_38.pdb,-4337.6011,0.926
6N8Z_39.pdb,-4549.5833,0.9272
6N8Z_4.pdb,-4617.3747,0.9255
6N8Z_40.pdb,-4395.1131,0.9273
6N8Z_41.pdb,-4420.9154,0.9265
6N8Z_42.pdb,-4418.3414,0.926
6N8Z_43.pdb,-4242.2369,0.9235
6N8Z_44.pdb,-4557.0423,0.9263
6N8Z_45.pdb,-4600.607,0.9265
6N8Z_46.pdb,-4131.0687,0.9235
6N8Z_47.pdb,-4762.0053,0.9255
6N8Z_48.pdb,-4302.2017,0.925
6N8Z_49.pdb,-4175.6098,0.9249
6N8Z_5.pdb,-3614.423,0.9295
6N8Z_50.pdb,-4489.0478,0.9252
6N8Z_6.pdb,-4394.9439,0.9275
6N8Z_7.pdb,-3999.765,0.9266
6N8Z_8.pdb,-4271.8044,0.926
6N8Z_9.pdb,-4593.4309,0.9218
