structure,HADDOCK-score,correlation
6R7I_1.pdb,-3872.5532,0.8886
6R7I_10.pdb,-5270.6812,0.8893
6R7I_11.pdb,-3862.111,0.8886
6R7I_12.pdb,-3795.6012,0.8883
6R7I_13.pdb,-3948.7863,0.8885
6R7I_14.pdb,-3982.7527,0.8859
6R7I_15.pdb,-3817.857,0.8872
6R7I_16.pdb,-3987.3221,0.8848
6R7I_17.pdb,-3838.8908,0.8888
6R7I_18.pdb,-3792.0622,0.8868
6R7I_19.pdb,-3978.4817,0.8861
6R7I_2.pdb,-3859.6987,0.8861
6R7I_20.pdb,-3770.6496,0.888
6R7I_21.pdb,-3887.4527,0.8852
6R7I_22.pdb,-4125.0188,0.8857
6R7I_23.pdb,-3714.9011,0.8896
6R7I_24.pdb,-3920.7697,0.8901
6R7I_25.pdb,-3765.8833,0.8895
6R7I_26.pdb,-3977.0917,0.8878
6R7I_27.pdb,-3898.5642,0.8914
6R7I_28.pdb,-3868.333,0.8882
6R7I_29.pdb,-5210.0618,0.8864
6R7I_3.pdb,-3954.4586,0.8838
6R7I_30.pdb,-3916.8452,0.8859
6R7I_31.pdb,-4154.8975,0.8813
6R7I_32.pdb,-3920.1762,0.8891
6R7I_33.pdb,-4043.7411,0.8855
6R7I_34.pdb,-3909.4466,0.8856
6R7I_35.pdb,-3827.6407,0.8877
6R7I_36.pdb,-3912.017,0.8849
6R7I_37.pdb,-3931.2951,0.8871
6R7I_38.pdb,-4052.673,0.8828
6R7I_39.pdb,-4005.3708,0.8866
6R7I_4.pdb,-3848.4272,0.8897
6R7I_40.pdb,-3860.1154,0.8886
6R7I_41.pdb,-3824.0011,0.8869
6R7I_42.pdb,-4071.1611,0.8876
6R7I_43.pdb,-3978.0171,0.885
6R7I_44.pdb,-3928.3045,0.8882
6R7I_45.pdb,-5315.7922,0.8867
6R7I_46.pdb,-3878.7983,0.8881
6R7I_47.pdb,-3933.0004,0.8871
6R7I_48.pdb,-3952.5828,0.8871
6R7I_49.pdb,-3838.3784,0.8866
6R7I_5.pdb,-3856.8792,0.887
6R7I_50.pdb,-3819.6666,0.8876
6R7I_6.pdb,-3810.5887,0.8884
6R7I_7.pdb,-3836.0706,0.8827
6R7I_8.pdb,-5416.3117,0.8871
6R7I_9.pdb,-4028.8473,0.8873
