structure,HADDOCK-score,correlation
3J95_1.pdb,-2529.706,0.9277
3J95_10.pdb,-2783.8308,0.928
3J95_11.pdb,-2937.4958,0.9294
3J95_12.pdb,-2666.987,0.929
3J95_13.pdb,-2854.6411,0.9288
3J95_14.pdb,-2739.8214,0.9299
3J95_15.pdb,-2735.266,0.9271
3J95_16.pdb,-2959.6467,0.9304
3J95_17.pdb,-2632.7009,0.9294
3J95_18.pdb,-2926.9658,0.9305
3J95_19.pdb,-2857.7412,0.9306
3J95_2.pdb,-2624.978,0.9305
3J95_20.pdb,-2951.6593,0.9314
3J95_21.pdb,-2656.9986,0.9313
3J95_22.pdb,-2738.3578,0.9293
3J95_23.pdb,-2543.9215,0.9284
3J95_24.pdb,-2862.5779,0.9271
3J95_25.pdb,-2678.6709,0.9288
3J95_26.pdb,-2821.4938,0.9271
3J95_27.pdb,-2711.515,0.9291
3J95_28.pdb,-2647.7702,0.9297
3J95_29.pdb,-2436.1271,0.9252
3J95_3.pdb,-2694.8476,0.9289
3J95_30.pdb,-2569.5341,0.9319
3J95_31.pdb,-2889.7858,0.9304
3J95_32.pdb,-2934.1765,0.9287
3J95_33.pdb,-2703.3057,0.9297
3J95_34.pdb,-2751.6405,0.9284
3J95_35.pdb,-2834.3137,0.9283
3J95_36.pdb,-2610.1406,0.9332
3J95_37.pdb,-2729.0625,0.927
3J95_38.pdb,-2647.4572,0.9291
3J95_39.pdb,-2539.5603,0.9262
3J95_4.pdb,-2745.7868,0.9297
3J95_40.pdb,-2791.3179,0.9299
3J95_41.pdb,-2800.5139,0.9309
3J95_42.pdb,-2714.7631,0.9276
3J95_43.pdb,-2417.0254,0.9241
3J95_44.pdb,-2851.599,0.9272
3J95_45.pdb,-2484.8736,0.9286
3J95_46.pdb,-2649.5389,0.9248
3J95_47.pdb,-2581.5782,0.9288
3J95_48.pdb,-2877.2742,0.9293
3J95_49.pdb,-2817.4086,0.9304
3J95_5.pdb,-3129.9684,0.9314
3J95_50.pdb,-2451.6054,0.9284
3J95_6.pdb,-2701.0234,0.9285
3J95_7.pdb,-2320.6364,0.9388
3J95_8.pdb,-2752.2209,0.9305
3J95_9.pdb,-3047.0586,0.9298
