structure,HADDOCK-score,correlation,atomic-clashes
6N8Z_10w.pdb,-1704.58728,0.9237,1
6N8Z_11w.pdb,-1620.11421,0.9245,0
6N8Z_12w.pdb,-1668.1131,0.9295,3
6N8Z_13w.pdb,-1774.7652,0.9282,0
6N8Z_14w.pdb,-1770.8175,0.9262,1
6N8Z_15w.pdb,-1639.8375,0.9261,1
6N8Z_16w.pdb,-1802.5904,0.9227,0
6N8Z_17w.pdb,-1693.2327,0.925,2
6N8Z_18w.pdb,-1799.7895,0.9263,2
6N8Z_19w.pdb,-1796.21986,0.9264,0
6N8Z_1w.pdb,-1814.508,0.9274,2
6N8Z_20w.pdb,-1634.8014,0.924,0
6N8Z_21w.pdb,-1656.2143,0.925,2
6N8Z_22w.pdb,-1591.8606,0.9222,1
6N8Z_23w.pdb,-1711.3872,0.923,0
6N8Z_24w.pdb,-1668.4577,0.9218,1
6N8Z_25w.pdb,-1630.1482,0.9225,0
6N8Z_26w.pdb,-1730.574,0.9257,0
6N8Z_27w.pdb,-1721.4687,0.9241,1
6N8Z_28w.pdb,-1586.1256,0.9234,1
6N8Z_29w.pdb,-1798.2756,0.9278,1
6N8Z_2w.pdb,-1807.4732,0.9259,0
6N8Z_30w.pdb,-1834.5287,0.927,1
6N8Z_31w.pdb,-1663.1537,0.9228,1
6N8Z_32w.pdb,-1874.0006,0.9283,0
6N8Z_33w.pdb,-1749.5713,0.9265,1
6N8Z_34w.pdb,-1651.9313,0.9256,2
6N8Z_35w.pdb,-1753.4442,0.9278,2
6N8Z_36w.pdb,-1748.266,0.9256,2
6N8Z_37w.pdb,-1680.41554,0.9265,1
6N8Z_38w.pdb,-1909.65725,0.9245,1
6N8Z_39w.pdb,-1806.887,0.9272,1
6N8Z_3w.pdb,-1742.753,0.9262,1
6N8Z_40w.pdb,-1708.07485,0.9232,1
6N8Z_41w.pdb,-1655.7503,0.9244,1
6N8Z_42w.pdb,-1538.6745,0.9239,3
6N8Z_43w.pdb,-1750.6814,0.9283,0
6N8Z_44w.pdb,-1708.7279,0.9255,1
6N8Z_45w.pdb,-1754.7862,0.9261,2
6N8Z_46w.pdb,-1630.9388,0.9249,0
6N8Z_47w.pdb,-1844.6859,0.9286,4
6N8Z_48w.pdb,-1818.5758,0.9263,1
6N8Z_49w.pdb,-1704.1494,0.9251,1
6N8Z_4w.pdb,-1668.2172,0.9253,0
6N8Z_50w.pdb,-1765.53133,0.9261,0
6N8Z_5w.pdb,-1668.1131,0.9295,3
6N8Z_6w.pdb,-1663.8007,0.9251,2
6N8Z_7w.pdb,-1817.0456,0.9246,1
6N8Z_8w.pdb,-1574.7796,0.9251,0
6N8Z_9w.pdb,-1709.1724,0.9252,2
