structure,HADDOCK-score,correlation
6UC0_1.pdb,-3160.4357,0.932
6UC0_10.pdb,-3256.9466,0.9282
6UC0_11.pdb,-3311.9364,0.9311
6UC0_12.pdb,-3188.4332,0.9322
6UC0_13.pdb,-3204.5626,0.9315
6UC0_14.pdb,-3197.3509,0.9307
6UC0_15.pdb,-3129.7751,0.9327
6UC0_16.pdb,-3326.4397,0.9319
6UC0_17.pdb,-3110.7378,0.9292
6UC0_18.pdb,-3154.0476,0.9325
6UC0_19.pdb,-3174.3673,0.9314
6UC0_2.pdb,-3180.1346,0.9299
6UC0_20.pdb,-3286.3381,0.9325
6UC0_21.pdb,-3163.4007,0.9293
6UC0_22.pdb,-3243.3892,0.9289
6UC0_23.pdb,-3022.0069,0.9293
6UC0_24.pdb,-3211.8975,0.9311
6UC0_25.pdb,-3270.8685,0.9311
6UC0_26.pdb,-3192.2447,0.9319
6UC0_27.pdb,-3198.6626,0.9332
6UC0_28.pdb,-3275.3948,0.9315
6UC0_29.pdb,-3248.10499,0.9314
6UC0_3.pdb,-3158.6648,0.9321
6UC0_30.pdb,-3189.8804,0.9287
6UC0_31.pdb,-3198.0795,0.9318
6UC0_32.pdb,-3274.0813,0.9306
6UC0_33.pdb,-3149.968,0.9284
6UC0_34.pdb,-3142.1381,0.929
6UC0_35.pdb,-3139.3258,0.931
6UC0_36.pdb,-3295.0481,0.9299
6UC0_37.pdb,-3133.8664,0.9298
6UC0_38.pdb,-3271.5306,0.9335
6UC0_39.pdb,-3266.2488,0.9314
6UC0_4.pdb,-3168.7702,0.933
6UC0_40.pdb,-3181.3684,0.9301
6UC0_41.pdb,-3151.159,0.9319
6UC0_42.pdb,-3160.1092,0.9306
6UC0_43.pdb,-3177.9678,0.9326
6UC0_44.pdb,-3150.9559,0.9311
6UC0_45.pdb,-3279.3365,0.9306
6UC0_46.pdb,-3330.096,0.9307
6UC0_47.pdb,-3219.0499,0.9311
6UC0_48.pdb,-3207.8,0.9311
6UC0_49.pdb,-3275.2369,0.9319
6UC0_5.pdb,-3193.9443,0.9327
6UC0_50.pdb,-3074.1554,0.9298
6UC0_6.pdb,-3274.94144,0.9322
6UC0_7.pdb,-3234.3267,0.9339
6UC0_8.pdb,-3122.432,0.9315
6UC0_9.pdb,-3212.6594,0.9278
