structure,HADDOCK-score,atomic-clashes
6N1Q_1.pdb,-2238.603,0
6N1Q_10.pdb,-2382.0004,2
6N1Q_11.pdb,-2367.71,2
6N1Q_12.pdb,-2470.4662,2
6N1Q_13.pdb,-2426.1185,0
6N1Q_14.pdb,-2138.2129,1
6N1Q_15.pdb,-2303.5434,0
6N1Q_16.pdb,-2086.9319,0
6N1Q_17.pdb,-2394.2213,1
6N1Q_18.pdb,-2387.7314,1
6N1Q_19.pdb,-2463.5148,1
6N1Q_2.pdb,-2207.4253,0
6N1Q_20.pdb,-2295.4805,1
6N1Q_21.pdb,-2445.8353,1
6N1Q_22.pdb,-2446.9942,0
6N1Q_23.pdb,-2343.5419,1
6N1Q_24.pdb,-2307.8095,1
6N1Q_25.pdb,-2214.5883,1
6N1Q_26.pdb,-2343.721,2
6N1Q_27.pdb,-2153.6815,0
6N1Q_28.pdb,-2357.3325,0
6N1Q_29.pdb,-2437.9309,1
6N1Q_3.pdb,-2111.8975,1
6N1Q_30.pdb,-2212.5477,2
6N1Q_31.pdb,-2295.6323,0
6N1Q_32.pdb,-2265.1687,0
6N1Q_33.pdb,-2151.5848,1
6N1Q_34.pdb,-2147.0104,0
6N1Q_35.pdb,-2166.505,0
6N1Q_36.pdb,-2135.6311,0
6N1Q_37.pdb,-2179.9004,0
6N1Q_38.pdb,-2170.6232,2
6N1Q_39.pdb,-2049.823,1
6N1Q_4.pdb,-2168.8536,2
6N1Q_40.pdb,-2439.0438,1
6N1Q_41.pdb,-2227.8155,1
6N1Q_42.pdb,-2329.0403,0
6N1Q_43.pdb,-2185.9825,1
6N1Q_44.pdb,-2143.7711,0
6N1Q_45.pdb,-2202.1149,0
6N1Q_46.pdb,-2061.4276,0
6N1Q_47.pdb,-2413.6131,2
6N1Q_48.pdb,-2378.9614,0
6N1Q_49.pdb,-2418.5699,0
6N1Q_5.pdb,-2311.2079,1
6N1Q_50.pdb,-2346.776,0
6N1Q_6.pdb,-2657.8962,1
6N1Q_7.pdb,-2301.1901,1
6N1Q_8.pdb,-2361.5737,2
6N1Q_9.pdb,-1941.5559,0
