structure,HADDOCK-score,atomic-clashes
6UC0_1.pdb,-2753.428,3
6UC0_10.pdb,-3019.1623,5
6UC0_11.pdb,-2805.4283,0
6UC0_12.pdb,-2872.153,3
6UC0_13.pdb,-2864.2217,1
6UC0_14.pdb,-2855.4382,1
6UC0_15.pdb,-2812.0565,3
6UC0_16.pdb,-2848.6532,4
6UC0_17.pdb,-2987.4174,2
6UC0_18.pdb,-2974.0989,2
6UC0_19.pdb,-2806.6764,4
6UC0_2.pdb,-3108.6683,3
6UC0_20.pdb,-2966.6958,1
6UC0_21.pdb,-3000.7834,5
6UC0_22.pdb,-3034.9158,2
6UC0_23.pdb,-3114.0225,2
6UC0_24.pdb,-2842.0731,3
6UC0_25.pdb,-3033.1018,3
6UC0_26.pdb,-2645.914,1
6UC0_27.pdb,-2837.0185,1
6UC0_28.pdb,-2843.6918,2
6UC0_29.pdb,-2973.304,1
6UC0_3.pdb,-2879.9875,2
6UC0_30.pdb,-2920.6009,4
6UC0_31.pdb,-2769.0727,1
6UC0_32.pdb,-2382.7593,2
6UC0_33.pdb,-2891.4819,3
6UC0_34.pdb,-2566.3121,2
6UC0_35.pdb,-2793.5065,2
6UC0_36.pdb,-2993.2799,3
6UC0_37.pdb,-3075.2215,2
6UC0_38.pdb,-2722.5926,1
6UC0_39.pdb,-2825.4435,0
6UC0_4.pdb,-2637.9637,3
6UC0_40.pdb,-3173.8675,0
6UC0_41.pdb,-2928.3146,0
6UC0_42.pdb,-2769.6472,3
6UC0_43.pdb,-3105.9658,4
6UC0_44.pdb,-2862.202,1
6UC0_45.pdb,-2483.2036,0
6UC0_46.pdb,-2946.9458,2
6UC0_47.pdb,-2892.2355,4
6UC0_48.pdb,-2671.7865,2
6UC0_49.pdb,-2967.9904,2
6UC0_5.pdb,-2662.3237,0
6UC0_50.pdb,-2867.6775,2
6UC0_6.pdb,-2788.3188,1
6UC0_7.pdb,-2942.7444,2
6UC0_8.pdb,-2923.4554,4
6UC0_9.pdb,-2866.8344,5
