structure,HADDOCK-score,correlation,atomic-clashes
6ENY_10w.pdb,-633.832947,0.8854,0
6ENY_11w.pdb,945.755188,0.8835,12
6ENY_12w.pdb,944.676341,0.882,13
6ENY_13w.pdb,-620.305552,0.883,0
6ENY_14w.pdb,916.591249,0.8819,12
6ENY_15w.pdb,-610.522475,0.8837,1
6ENY_16w.pdb,926.96715,0.8828,12
6ENY_17w.pdb,890.675263,0.8836,12
6ENY_18w.pdb,959.64352,0.8836,12
6ENY_19w.pdb,941.795962,0.8836,12
6ENY_1w.pdb,945.894742,0.8841,13
6ENY_20w.pdb,927.853279,0.884,12
6ENY_21w.pdb,961.68575,0.8828,12
6ENY_22w.pdb,908.980254,0.8844,12
6ENY_23w.pdb,926.92,0.8843,12
6ENY_24w.pdb,830.059948,0.8829,12
6ENY_25w.pdb,950.102211,0.8848,12
6ENY_26w.pdb,903.133946,0.8829,13
6ENY_27w.pdb,908.110989,0.8839,12
6ENY_28w.pdb,883.741579,0.8814,12
6ENY_29w.pdb,891.05602,0.8819,12
6ENY_2w.pdb,974.927742,0.8832,12
6ENY_30w.pdb,954.209465,0.8823,13
6ENY_31w.pdb,-622.008588,0.8837,0
6ENY_32w.pdb,931.23511,0.8835,13
6ENY_33w.pdb,962.77443,0.8848,12
6ENY_34w.pdb,897.553053,0.8822,12
6ENY_35w.pdb,1011.7642,0.8392,12
6ENY_36w.pdb,949.463011,0.8828,12
6ENY_37w.pdb,870.90498,0.8834,12
6ENY_38w.pdb,890.83526,0.8827,13
6ENY_39w.pdb,975.931452,0.8841,12
6ENY_3w.pdb,931.461804,0.8839,12
6ENY_40w.pdb,908.21739,0.883,12
6ENY_41w.pdb,957.855357,0.8843,12
6ENY_42w.pdb,964.958156,0.8841,12
6ENY_43w.pdb,925.095398,0.8824,13
6ENY_44w.pdb,880.855498,0.8845,12
6ENY_45w.pdb,-575.515715,0.8826,0
6ENY_46w.pdb,929.333819,0.8824,12
6ENY_47w.pdb,928.61618,0.8845,12
6ENY_48w.pdb,895.2907,0.8809,12
6ENY_49w.pdb,897.1863,0.8827,13
6ENY_4w.pdb,919.899326,0.8838,12
6ENY_50w.pdb,923.224481,0.8812,12
6ENY_5w.pdb,943.654594,0.8815,12
6ENY_6w.pdb,911.54423,0.8843,12
6ENY_7w.pdb,951.2946,0.8383,13
6ENY_8w.pdb,951.596064,0.8834,12
6ENY_9w.pdb,930.588662,0.8853,12
