structure,HADDOCK-score,atomic-clashes
6N8T_1.pdb,-6109.6199,29
6N8T_10.pdb,-6109.6199,29
6N8T_11.pdb,-6109.6199,29
6N8T_12.pdb,-6109.6199,29
6N8T_13.pdb,-6109.6199,29
6N8T_14.pdb,-6109.6199,29
6N8T_15.pdb,-6109.6199,29
6N8T_16.pdb,-6109.6199,29
6N8T_17.pdb,-6109.6199,29
6N8T_18.pdb,-6109.6199,29
6N8T_19.pdb,-6109.6199,29
6N8T_2.pdb,-6109.6199,29
6N8T_20.pdb,-6109.6199,29
6N8T_21.pdb,-6109.6199,29
6N8T_22.pdb,-6109.6199,29
6N8T_23.pdb,-6109.6199,29
6N8T_24.pdb,-6109.6199,29
6N8T_25.pdb,-6109.6199,29
6N8T_26.pdb,-6109.6199,29
6N8T_27.pdb,-6109.6199,29
6N8T_28.pdb,-6109.6199,29
6N8T_29.pdb,-6109.6199,29
6N8T_3.pdb,-6109.6199,29
6N8T_30.pdb,-6109.6199,29
6N8T_31.pdb,-6109.6199,29
6N8T_32.pdb,-6109.6199,29
6N8T_33.pdb,-6109.6199,29
6N8T_34.pdb,-6109.6199,29
6N8T_35.pdb,-6109.6199,29
6N8T_36.pdb,-6109.6199,29
6N8T_37.pdb,-6109.6199,29
6N8T_38.pdb,-6109.6199,29
6N8T_39.pdb,-6109.6199,29
6N8T_4.pdb,-6109.6199,29
6N8T_40.pdb,-6109.6199,29
6N8T_41.pdb,-6109.6199,29
6N8T_42.pdb,-6109.6199,29
6N8T_43.pdb,-6109.6199,29
6N8T_44.pdb,-6109.6199,29
6N8T_45.pdb,-6109.6199,29
6N8T_46.pdb,-6109.6199,29
6N8T_47.pdb,-6109.6199,29
6N8T_48.pdb,-6109.6199,29
6N8T_49.pdb,-6109.6199,29
6N8T_5.pdb,-6109.6199,29
6N8T_50.pdb,-6109.6199,29
6N8T_6.pdb,-6109.6199,29
6N8T_7.pdb,-6109.6199,29
6N8T_8.pdb,-6109.6199,29
6N8T_9.pdb,-6109.6199,29
