structure,HADDOCK-score,atomic-clashes
3J96_1.pdb,-7871.9729,5
3J96_10.pdb,-7885.7152,7
3J96_11.pdb,-7840.7173,4
3J96_12.pdb,-7821.2192,2
3J96_13.pdb,-7779.5861,6
3J96_14.pdb,-7606.4993,4
3J96_15.pdb,-7335.65904,5
3J96_16.pdb,-7599.3234,6
3J96_17.pdb,-8017.9934,6
3J96_18.pdb,-7698.7664,7
3J96_19.pdb,-7629.3241,4
3J96_2.pdb,-7760.52454,5
3J96_20.pdb,-7408.4218,8
3J96_21.pdb,-7829.8277,5
3J96_22.pdb,-8077.034,5
3J96_23.pdb,-7380.7839,6
3J96_24.pdb,-7385.2895,2
3J96_25.pdb,-7741.22678,6
3J96_26.pdb,-7657.352,8
3J96_27.pdb,-7552.506,4
3J96_28.pdb,-7493.1709,8
3J96_29.pdb,-7809.0153,6
3J96_3.pdb,-7818.4512,8
3J96_30.pdb,-8000.4642,8
3J96_31.pdb,-7721.9928,5
3J96_32.pdb,-7674.7395,6
3J96_33.pdb,-7406.1228,9
3J96_34.pdb,-7865.9439,4
3J96_35.pdb,-7894.5807,6
3J96_36.pdb,-7794.7809,6
3J96_37.pdb,-8038.0992,3
3J96_38.pdb,-7694.0457,6
3J96_39.pdb,-8005.7524,6
3J96_4.pdb,-8010.9072,7
3J96_40.pdb,-7793.2907,4
3J96_41.pdb,-8027.7602,9
3J96_42.pdb,-8259.0267,10
3J96_43.pdb,-7352.292,6
3J96_44.pdb,-7698.6831,6
3J96_45.pdb,-7555.1878,5
3J96_46.pdb,-7441.2632,9
3J96_47.pdb,-7987.46,6
3J96_48.pdb,-7821.77417,8
3J96_49.pdb,-7348.2914,13
3J96_5.pdb,-7725.0636,7
3J96_50.pdb,-7702.52594,9
3J96_6.pdb,-7678.0835,7
3J96_7.pdb,-7528.6611,7
3J96_8.pdb,-7717.6806,5
3J96_9.pdb,-7923.3204,6
