structure,HADDOCK-score,correlation
6C3P_1.pdb,-3840.2741,0.5368
6C3P_10.pdb,-3567.9328,0.5227
6C3P_11.pdb,-3718.6716,0.5343
6C3P_12.pdb,-3365.0115,0.5277
6C3P_13.pdb,-3826.486,0.5357
6C3P_14.pdb,-3730.926,0.5392
6C3P_15.pdb,-3838.8248,0.537
6C3P_16.pdb,-3526.0647,0.5246
6C3P_17.pdb,-3607.5082,0.5377
6C3P_18.pdb,-3368.6489,0.5363
6C3P_19.pdb,-3766.3817,0.5351
6C3P_2.pdb,-3777.7396,0.5337
6C3P_20.pdb,-3684.719,0.5299
6C3P_21.pdb,-3694.8991,0.5377
6C3P_22.pdb,-3817.5624,0.5414
6C3P_23.pdb,-3634.357,0.5328
6C3P_24.pdb,-3815.262,0.5377
6C3P_25.pdb,-3352.5994,0.5266
6C3P_26.pdb,-3656.5609,0.5328
6C3P_27.pdb,-3740.8165,0.5355
6C3P_28.pdb,-3589.9302,0.5358
6C3P_29.pdb,-3711.9533,0.5376
6C3P_3.pdb,-3494.4708,0.5385
6C3P_30.pdb,-3784.2622,0.544
6C3P_31.pdb,-3693.9712,0.5337
6C3P_32.pdb,-3727.4983,0.5378
6C3P_33.pdb,-3635.466,0.5392
6C3P_34.pdb,-3610.9583,0.5363
6C3P_35.pdb,-3646.7563,0.5288
6C3P_36.pdb,-3319.8164,0.5296
6C3P_37.pdb,-3806.2714,0.5335
6C3P_38.pdb,-3477.9617,0.5248
6C3P_39.pdb,-3497.0773,0.5254
6C3P_4.pdb,-3598.5394,0.5362
6C3P_40.pdb,-3565.3663,0.5374
6C3P_41.pdb,-3943.8925,0.5369
6C3P_42.pdb,-3711.3383,0.5412
6C3P_43.pdb,-3802.1322,0.5383
6C3P_44.pdb,-3762.0319,0.5391
6C3P_45.pdb,-3727.2339,0.5376
6C3P_46.pdb,-3722.0232,0.536
6C3P_47.pdb,-3566.1889,0.5366
6C3P_48.pdb,-3356.5648,0.5255
6C3P_49.pdb,-3671.1026,0.5412
6C3P_5.pdb,-3758.9682,0.5343
6C3P_50.pdb,-3718.4303,0.5351
6C3P_6.pdb,-3627.1179,0.5392
6C3P_7.pdb,-2260.113,0.5098
6C3P_8.pdb,-3626.1145,0.5368
6C3P_9.pdb,-2261.258,0.5098
