structure,HADDOCK-score,atomic-clashes
6UBY_1.pdb,-2586.9236,0
6UBY_10.pdb,-2574.3355,0
6UBY_11.pdb,-2508.4064,0
6UBY_12.pdb,-2605.1465,2
6UBY_13.pdb,-2562.6007,2
6UBY_14.pdb,-2435.5764,0
6UBY_15.pdb,-2387.1327,0
6UBY_16.pdb,-2511.336,0
6UBY_17.pdb,-2621.4376,1
6UBY_18.pdb,-2624.8658,5
6UBY_19.pdb,-2481.525,1
6UBY_2.pdb,-2539.2253,0
6UBY_20.pdb,-2372.0826,0
6UBY_21.pdb,-2691.5537,1
6UBY_22.pdb,-2651.6224,1
6UBY_23.pdb,-2574.3776,2
6UBY_24.pdb,-2651.7644,2
6UBY_25.pdb,-2699.8299,0
6UBY_26.pdb,-2577.8278,1
6UBY_27.pdb,-2542.7372,1
6UBY_28.pdb,-2579.6315,0
6UBY_29.pdb,-2465.5325,2
6UBY_3.pdb,-2626.177,1
6UBY_30.pdb,-2642.66525,0
6UBY_31.pdb,-2375.1964,0
6UBY_32.pdb,-2639.3863,1
6UBY_33.pdb,-2473.0869,0
6UBY_34.pdb,-2552.1491,0
6UBY_35.pdb,-2527.1482,1
6UBY_36.pdb,-2468.0221,2
6UBY_37.pdb,-2419.3886,0
6UBY_38.pdb,-2522.7737,1
6UBY_39.pdb,-2512.59326,1
6UBY_4.pdb,-2619.76441,0
6UBY_40.pdb,-2681.2178,1
6UBY_41.pdb,-2624.45126,1
6UBY_42.pdb,-2383.6587,2
6UBY_43.pdb,-2499.7078,2
6UBY_44.pdb,-2543.81856,2
6UBY_45.pdb,-2593.8879,2
6UBY_46.pdb,-2514.78992,1
6UBY_47.pdb,-2452.6555,2
6UBY_48.pdb,-2619.8614,3
6UBY_49.pdb,-2556.6965,1
6UBY_5.pdb,-2424.7328,0
6UBY_50.pdb,-2510.6049,2
6UBY_6.pdb,-2546.692,0
6UBY_7.pdb,-2455.4288,0
6UBY_8.pdb,-2609.8892,2
6UBY_9.pdb,-2521.6965,0
