structure,HADDOCK-score,correlation,atomic-clashes
5HNY_10w.pdb,-480.24297,0.936,0
5HNY_11w.pdb,-483.773323,0.9362,0
5HNY_12w.pdb,-483.773323,0.9362,0
5HNY_13w.pdb,-480.24297,0.936,0
5HNY_14w.pdb,-483.773323,0.9362,0
5HNY_15w.pdb,-483.773323,0.9362,0
5HNY_16w.pdb,-480.24297,0.936,0
5HNY_17w.pdb,-483.773323,0.9362,0
5HNY_18w.pdb,-483.773323,0.9362,0
5HNY_19w.pdb,-478.26438,0.9358,0
5HNY_1w.pdb,-480.24297,0.936,0
5HNY_20w.pdb,-480.24297,0.936,0
5HNY_21w.pdb,-480.24297,0.936,0
5HNY_22w.pdb,-480.24297,0.936,0
5HNY_23w.pdb,-480.24297,0.936,0
5HNY_24w.pdb,-480.24297,0.936,0
5HNY_25w.pdb,-480.24297,0.936,0
5HNY_26w.pdb,-480.24297,0.936,0
5HNY_27w.pdb,-477.14373,0.936,0
5HNY_28w.pdb,-480.84325,0.9361,0
5HNY_29w.pdb,-480.24297,0.936,0
5HNY_2w.pdb,-483.773323,0.9362,0
5HNY_30w.pdb,-480.24297,0.936,0
5HNY_31w.pdb,-480.24297,0.936,0
5HNY_32w.pdb,-480.24297,0.936,0
5HNY_33w.pdb,-483.773323,0.9362,0
5HNY_34w.pdb,-480.24297,0.936,0
5HNY_35w.pdb,-476.79125,0.9363,0
5HNY_36w.pdb,-480.24297,0.936,0
5HNY_37w.pdb,-480.24297,0.936,0
5HNY_38w.pdb,-483.773323,0.9362,0
5HNY_39w.pdb,-480.24297,0.936,0
5HNY_3w.pdb,-480.24297,0.936,0
5HNY_40w.pdb,-480.24297,0.936,0
5HNY_41w.pdb,-480.24297,0.936,0
5HNY_42w.pdb,-483.773323,0.9362,0
5HNY_43w.pdb,-480.24297,0.936,0
5HNY_44w.pdb,-483.773323,0.9362,0
5HNY_45w.pdb,-480.24297,0.936,0
5HNY_46w.pdb,-480.24297,0.936,0
5HNY_47w.pdb,-480.24297,0.936,0
5HNY_48w.pdb,-483.773323,0.9362,0
5HNY_49w.pdb,-483.773323,0.9362,0
5HNY_4w.pdb,-480.24297,0.936,0
5HNY_50w.pdb,-480.24297,0.936,0
5HNY_5w.pdb,-483.773323,0.9362,0
5HNY_6w.pdb,-483.773323,0.9362,0
5HNY_7w.pdb,-480.24297,0.936,0
5HNY_8w.pdb,-483.773323,0.9362,0
5HNY_9w.pdb,-480.24297,0.936,0
