structure,HADDOCK-score,correlation
5HNY_1.pdb,-808.70307,0.9357
5HNY_10.pdb,-764.44732,0.9345
5HNY_11.pdb,-703.68541,0.9356
5HNY_12.pdb,-874.05663,0.9344
5HNY_13.pdb,-707.076726,0.9336
5HNY_14.pdb,-744.0513,0.9346
5HNY_15.pdb,-738.88041,0.9336
5HNY_16.pdb,-700.93959,0.9348
5HNY_17.pdb,-626.02189,0.9357
5HNY_18.pdb,-697.19785,0.9351
5HNY_19.pdb,-808.74434,0.9349
5HNY_2.pdb,-734.65717,0.9344
5HNY_20.pdb,-735.892472,0.9354
5HNY_21.pdb,-793.4605,0.9342
5HNY_22.pdb,-855.58832935,0.9348
5HNY_23.pdb,-769.19062,0.934
5HNY_24.pdb,-711.80539,0.9339
5HNY_25.pdb,-736.076714,0.933
5HNY_26.pdb,-784.47012,0.935
5HNY_27.pdb,-681.53064,0.9308
5HNY_28.pdb,-101.63325,0.9306
5HNY_29.pdb,-772.72539,0.9351
5HNY_3.pdb,-702.36722,0.9354
5HNY_30.pdb,-790.2177,0.9348
5HNY_31.pdb,-613.672961,0.9321
5HNY_32.pdb,-604.87643,0.9321
5HNY_33.pdb,-699.93687,0.9349
5HNY_34.pdb,-788.62377,0.9345
5HNY_35.pdb,-698.63738,0.9348
5HNY_36.pdb,-779.06021,0.933
5HNY_37.pdb,-679.67135,0.9335
5HNY_38.pdb,-718.94246,0.9351
5HNY_39.pdb,-759.2362,0.9343
5HNY_4.pdb,-774.787607,0.9351
5HNY_40.pdb,-726.27115,0.9337
5HNY_41.pdb,-703.0191,0.9336
5HNY_42.pdb,-764.40839,0.934
5HNY_43.pdb,-697.4809,0.9354
5HNY_44.pdb,-753.30072,0.9339
5HNY_45.pdb,-743.01299,0.9346
5HNY_46.pdb,-833.74323,0.9345
5HNY_47.pdb,-745.34754,0.9353
5HNY_48.pdb,-657.3949,0.9335
5HNY_49.pdb,-769.88334,0.9334
5HNY_5.pdb,-639.95242,0.9353
5HNY_50.pdb,-678.85289,0.935
5HNY_6.pdb,-725.31229,0.9342
5HNY_7.pdb,-686.41281,0.9337
5HNY_8.pdb,-559.236547,0.9348
5HNY_9.pdb,-696.29549,0.9344
