structure,HADDOCK-score,atomic-clashes
6IRF_10.pdb,-2253.1149,1
6IRF_11.pdb,-2073.5051,0
6IRF_12.pdb,-2304.5701,0
6IRF_13.pdb,-2119.4662,0
6IRF_14.pdb,-2155.5182,0
6IRF_15.pdb,-2077.5571,2
6IRF_16.pdb,-2477.1172,1
6IRF_17.pdb,-2155.5293,0
6IRF_18.pdb,-2120.0314,0
6IRF_19.pdb,-2255.9215,0
6IRF_1.pdb,-2306.6852,2
6IRF_20.pdb,-2298.3013,0
6IRF_21.pdb,-2423.3208,1
6IRF_22.pdb,-2376.4767,0
6IRF_23.pdb,-2358.29899,0
6IRF_24.pdb,-2142.0579,0
6IRF_25.pdb,-2053.8632,3
6IRF_26.pdb,-2330.8737,0
6IRF_27.pdb,-2362.8493,2
6IRF_28.pdb,-2298.9126,0
6IRF_29.pdb,-2409.0224,0
6IRF_2.pdb,-2241.245,0
6IRF_30.pdb,-2329.4154,1
6IRF_31.pdb,-2303.501,0
6IRF_32.pdb,-2358.0231,0
6IRF_33.pdb,-2106.9494,1
6IRF_34.pdb,-2205.3692,0
6IRF_35.pdb,-2286.2062,0
6IRF_36.pdb,-2469.6671,0
6IRF_37.pdb,-2168.2706,1
6IRF_38.pdb,-2206.1127,0
6IRF_39.pdb,-2059.1562,0
6IRF_3.pdb,-2310.1378,2
6IRF_40.pdb,-2069.5221,2
6IRF_41.pdb,-2142.1353,0
6IRF_42.pdb,-2332.0602,0
6IRF_43.pdb,-2266.1758,0
6IRF_44.pdb,-2283.7379,0
6IRF_45.pdb,-2112.6877,1
6IRF_46.pdb,-1975.3486,0
6IRF_47.pdb,-2243.8675,1
6IRF_48.pdb,-2343.7553,0
6IRF_49.pdb,-2170.2999,1
6IRF_4.pdb,-2345.7826,0
6IRF_50.pdb,-2350.8042,0
6IRF_5.pdb,-2345.35,1
6IRF_6.pdb,-2368.8314,0
6IRF_7.pdb,-2534.4401,0
6IRF_8.pdb,-2310.5419,0
6IRF_9.pdb,-2194.1448,1
