structure,HADDOCK-score,correlation
5WCB_1.pdb,-1827.753,0.8985
5WCB_10.pdb,-1606.6045,0.8994
5WCB_11.pdb,-1672.7177,0.8943
5WCB_12.pdb,-1531.2116,0.8959
5WCB_13.pdb,-1592.1734,0.8964
5WCB_14.pdb,-1558.0984,0.8956
5WCB_15.pdb,-1737.8961,0.8977
5WCB_16.pdb,-1682.6189,0.8973
5WCB_17.pdb,-1731.8498,0.8977
5WCB_18.pdb,-1675.0476,0.8975
5WCB_19.pdb,-1576.4137,0.8967
5WCB_2.pdb,-1613.3575,0.8964
5WCB_20.pdb,-1749.6701,0.8957
5WCB_21.pdb,-1713.1901,0.8982
5WCB_22.pdb,-1452.041,0.8971
5WCB_23.pdb,-1751.2796,0.8992
5WCB_24.pdb,-1688.8088,0.8941
5WCB_25.pdb,-1657.1538,0.8977
5WCB_26.pdb,-1753.9743,0.9001
5WCB_27.pdb,-1776.4697,0.8966
5WCB_28.pdb,-1478.7655,0.893
5WCB_29.pdb,-1695.3272,0.8985
5WCB_3.pdb,-1451.8641,0.8979
5WCB_30.pdb,-1775.0265,0.8983
5WCB_31.pdb,-1714.1042,0.8993
5WCB_32.pdb,-1611.1595,0.8973
5WCB_33.pdb,-1742.2029,0.8957
5WCB_34.pdb,-1645.4476,0.898
5WCB_35.pdb,-1666.276,0.8986
5WCB_36.pdb,-1588.6013,0.8967
5WCB_37.pdb,-1781.9151,0.8986
5WCB_38.pdb,-1536.1446,0.8964
5WCB_39.pdb,-1781.0983,0.8988
5WCB_4.pdb,-1426.1375,0.8939
5WCB_40.pdb,-1617.9354,0.898
5WCB_41.pdb,-1839.7614,0.9004
5WCB_42.pdb,-1713.6655,0.898
5WCB_43.pdb,-1719.7301,0.8966
5WCB_44.pdb,-1851.615,0.8979
5WCB_45.pdb,-1612.093,0.898
5WCB_46.pdb,-1688.2366,0.8978
5WCB_47.pdb,-1771.4764,0.8982
5WCB_48.pdb,-1700.7207,0.8991
5WCB_49.pdb,-1692.5855,0.8999
5WCB_5.pdb,-1611.8329,0.8951
5WCB_50.pdb,-1621.0241,0.8983
5WCB_6.pdb,-1717.3534,0.8967
5WCB_7.pdb,-1698.7902,0.8975
5WCB_8.pdb,-1648.3901,0.896
5WCB_9.pdb,-1561.1215,0.8994
