structure,HADDOCK-score,correlation
6UBY_1.pdb,-206.9998,0.9441
6UBY_10.pdb,-9.1782,0.9445
6UBY_11.pdb,-151.0011,0.9449
6UBY_12.pdb,74.5203,0.9448
6UBY_13.pdb,-36.4648,0.945
6UBY_14.pdb,630.758,0.9318
6UBY_15.pdb,-3.4603,0.9443
6UBY_16.pdb,102.2848,0.9431
6UBY_17.pdb,-190.5796,0.9457
6UBY_18.pdb,-51.1759,0.9435
6UBY_19.pdb,-309.4821,0.9457
6UBY_2.pdb,-109.7364,0.9464
6UBY_20.pdb,34.1091,0.9441
6UBY_21.pdb,19.4954,0.9456
6UBY_22.pdb,-40.7331,0.946
6UBY_23.pdb,36.4195,0.9445
6UBY_24.pdb,-241.6403,0.9454
6UBY_25.pdb,-73.5426,0.9451
6UBY_26.pdb,61.567,0.9406
6UBY_27.pdb,-45.0355,0.9439
6UBY_28.pdb,-32.8409,0.946
6UBY_29.pdb,-50.2809,0.9448
6UBY_3.pdb,-172.5532,0.9452
6UBY_30.pdb,-116.2094,0.9434
6UBY_31.pdb,95.5873,0.9431
6UBY_32.pdb,119.6701,0.9413
6UBY_33.pdb,-1595.558,0.9468
6UBY_34.pdb,366.6688,0.9366
6UBY_35.pdb,17.6213,0.9443
6UBY_36.pdb,32.7059,0.9433
6UBY_37.pdb,282.4356,0.9361
6UBY_38.pdb,-76.3278,0.9476
6UBY_39.pdb,-57.8302,0.9425
6UBY_4.pdb,-60.4057,0.9443
6UBY_40.pdb,-117.3317,0.9458
6UBY_41.pdb,12.7437,0.9466
6UBY_42.pdb,-58.6782,0.9459
6UBY_43.pdb,-52.7588,0.9447
6UBY_44.pdb,-40.2268,0.9443
6UBY_45.pdb,-47.5997,0.9462
6UBY_46.pdb,34.364,0.9462
6UBY_47.pdb,-77.5697,0.9474
6UBY_48.pdb,-83.4177,0.9451
6UBY_49.pdb,-104.6841,0.9459
6UBY_5.pdb,123.4258,0.9436
6UBY_50.pdb,103.088,0.9432
6UBY_6.pdb,214.6597,0.9368
6UBY_7.pdb,-82.9156,0.9454
6UBY_8.pdb,228.3745,0.9423
6UBY_9.pdb,13.7287,0.9458
