structure,HADDOCK-score,Helix,Sheet,Turn,Coil,All
6N7G_23w.pdb,-567.66163,180,1208,760,309,2457
6N7G_35w.pdb,-562.61939,177,1210,738,331,2456
6N7G_30w.pdb,-561.00904,178,1205,744,328,2455
6N7G_50w.pdb,-548.3238,164,1216,739,330,2449
