structure,HADDOCK-score,correlation,atomic-clashes
6UBY_10w.pdb,760.599448,0.9442,17
6UBY_11w.pdb,784.246025,0.945,15
6UBY_12w.pdb,821.339075,0.9444,17
6UBY_13w.pdb,779.120686,0.9452,16
6UBY_14w.pdb,995.088696,0.9314,17
6UBY_15w.pdb,732.541365,0.9438,16
6UBY_16w.pdb,820.014717,0.9427,16
6UBY_17w.pdb,744.085477,0.9455,16
6UBY_18w.pdb,739.015876,0.9433,16
6UBY_19w.pdb,738.146861,0.9455,18
6UBY_1w.pdb,710.704338,0.944,17
6UBY_20w.pdb,809.87418,0.944,15
6UBY_21w.pdb,833.202494,0.9455,15
6UBY_22w.pdb,755.469121,0.9456,16
6UBY_23w.pdb,817.653041,0.9442,17
6UBY_24w.pdb,710.882857,0.9452,16
6UBY_25w.pdb,795.896942,0.9451,16
6UBY_26w.pdb,743.684233,0.9403,16
6UBY_27w.pdb,796.051462,0.9437,16
6UBY_28w.pdb,816.21343,0.9463,16
6UBY_29w.pdb,804.284541,0.9446,16
6UBY_2w.pdb,786.677518,0.9458,16
6UBY_30w.pdb,720.270783,0.9434,17
6UBY_31w.pdb,794.860498,0.9428,17
6UBY_32w.pdb,811.697296,0.9412,15
6UBY_33w.pdb,-772.9277,0.9465,0
6UBY_34w.pdb,971.79914,0.9366,15
6UBY_35w.pdb,840.265059,0.9438,15
6UBY_36w.pdb,826.57121,0.943,15
6UBY_37w.pdb,866.487087,0.9357,17
6UBY_38w.pdb,766.441581,0.9473,15
6UBY_39w.pdb,851.595913,0.9424,16
6UBY_3w.pdb,784.03971,0.9447,16
6UBY_40w.pdb,818.616877,0.9454,16
6UBY_41w.pdb,805.881609,0.9462,16
6UBY_42w.pdb,744.188457,0.9457,15
6UBY_43w.pdb,796.338207,0.9445,16
6UBY_44w.pdb,770.838446,0.9443,18
6UBY_45w.pdb,823.18631,0.9458,16
6UBY_46w.pdb,823.821271,0.946,16
6UBY_47w.pdb,786.811579,0.9472,16
6UBY_48w.pdb,783.807568,0.9452,16
6UBY_49w.pdb,759.550822,0.9455,16
6UBY_4w.pdb,720.898298,0.9442,17
6UBY_50w.pdb,859.573072,0.9433,16
6UBY_5w.pdb,853.738761,0.9434,16
6UBY_6w.pdb,931.928815,0.9366,15
6UBY_7w.pdb,779.492721,0.9451,15
6UBY_8w.pdb,898.954971,0.9423,16
6UBY_9w.pdb,833.752557,0.9456,16
