structure,HADDOCK-score,correlation
5WCB_1.pdb,-2036.8442,0.9039
5WCB_10.pdb,-1891.9486,0.9039
5WCB_11.pdb,-2045.99439,0.9039
5WCB_12.pdb,-2083.9942,0.9036
5WCB_13.pdb,-2245.423,0.9009
5WCB_14.pdb,-2080.23537,0.9018
5WCB_15.pdb,-2045.8809,0.9022
5WCB_16.pdb,-2040.8363,0.9003
5WCB_17.pdb,-2142.0219,0.9027
5WCB_18.pdb,-2133.2168,0.9031
5WCB_19.pdb,-2086.8071,0.9019
5WCB_2.pdb,-2073.0259,0.903
5WCB_20.pdb,-2001.0088,0.8994
5WCB_21.pdb,-2206.9158,0.9038
5WCB_22.pdb,-2072.49965,0.904
5WCB_23.pdb,-2264.2052,0.9029
5WCB_24.pdb,-2008.1859,0.9029
5WCB_25.pdb,-2169.635,0.9041
5WCB_26.pdb,-2116.2662,0.9033
5WCB_27.pdb,-2147.5934,0.9026
5WCB_28.pdb,-1967.8113,0.9005
5WCB_29.pdb,-2031.3809,0.903
5WCB_3.pdb,-2023.6065,0.9019
5WCB_30.pdb,-2076.9518,0.9026
5WCB_31.pdb,-2104.5755,0.9024
5WCB_32.pdb,-2057.5804,0.9023
5WCB_33.pdb,-2325.2255,0.9022
5WCB_34.pdb,-1951.0504,0.8986
5WCB_35.pdb,-1957.4982,0.9012
5WCB_36.pdb,-2120.1714,0.9008
5WCB_37.pdb,-2066.0181,0.9018
5WCB_38.pdb,-2139.0326,0.9004
5WCB_39.pdb,-2125.662,0.9037
5WCB_4.pdb,-2141.1616,0.9024
5WCB_40.pdb,-2067.3645,0.9017
5WCB_41.pdb,-2067.43904,0.9039
5WCB_42.pdb,-2018.2916,0.9038
5WCB_43.pdb,-2167.5419,0.9
5WCB_44.pdb,-2123.9058,0.9041
5WCB_45.pdb,-2201.672,0.9008
5WCB_46.pdb,-1913.4206,0.9009
5WCB_47.pdb,-2234.2409,0.9025
5WCB_48.pdb,-2274.36025,0.9019
5WCB_49.pdb,-2152.263,0.9031
5WCB_5.pdb,-2185.398,0.903
5WCB_50.pdb,-2086.9654,0.9015
5WCB_6.pdb,-2049.3232,0.8994
5WCB_7.pdb,-2132.4798,0.9001
5WCB_8.pdb,-1834.2144,0.9003
5WCB_9.pdb,-2145.5945,0.9022
