structure,HADDOCK-score,correlation,atomic-clashes
6ACG_10w.pdb,-1209.767,0.8581,0
6ACG_11w.pdb,-1257.814,0.8557,0
6ACG_12w.pdb,-1254.3,0.858,0
6ACG_13w.pdb,-1210.262,0.8573,1
6ACG_14w.pdb,-1341.315,0.8564,0
6ACG_15w.pdb,-1358.865,0.8566,0
6ACG_16w.pdb,-1301.494,0.8581,0
6ACG_17w.pdb,-1419.299,0.8568,0
6ACG_18w.pdb,-1286.794,0.8541,0
6ACG_19w.pdb,-1477.618,0.858,0
6ACG_1w.pdb,-1352.853,0.8573,0
6ACG_20w.pdb,-1232.011,0.8602,0
6ACG_21w.pdb,-1391.084,0.856,0
6ACG_22w.pdb,-1328.867,0.8558,0
6ACG_23w.pdb,-1076.043,0.8566,0
6ACG_24w.pdb,-1131.256,0.8559,0
6ACG_25w.pdb,-1229.633,0.8545,1
6ACG_26w.pdb,-1297.14,0.8565,0
6ACG_27w.pdb,-1237.014,0.8563,2
6ACG_28w.pdb,-1295.793,0.8567,0
6ACG_29w.pdb,-1267.045,0.8573,0
6ACG_2w.pdb,-1348.468,0.855,0
6ACG_30w.pdb,-1363.815,0.8572,0
6ACG_31w.pdb,-1409.083,0.8561,0
6ACG_32w.pdb,-1336.369,0.857,0
6ACG_33w.pdb,-1249.414,0.8591,0
6ACG_34w.pdb,-1371.175,0.8584,0
6ACG_35w.pdb,-1194.581,0.8595,0
6ACG_36w.pdb,-1346.788,0.854,0
6ACG_37w.pdb,-1304.025,0.855,0
6ACG_38w.pdb,-1312.005,0.8553,0
6ACG_39w.pdb,-1357.589,0.8577,1
6ACG_3w.pdb,-1245.323,0.8565,1
6ACG_40w.pdb,-1239.33,0.8573,0
6ACG_41w.pdb,-1380.291,0.8554,0
6ACG_42w.pdb,-1252.72,0.8567,0
6ACG_43w.pdb,-1412.562,0.8563,0
6ACG_44w.pdb,-1344.828,0.8573,0
6ACG_45w.pdb,-1468.439,0.8575,0
6ACG_46w.pdb,-1270.753,0.8603,0
6ACG_47w.pdb,-1227.936,0.8583,0
6ACG_48w.pdb,-1352.037,0.8554,0
6ACG_49w.pdb,-1340.697,0.8571,0
6ACG_4w.pdb,-1361.413,0.8544,0
6ACG_50w.pdb,-1424.4,0.8576,0
6ACG_5w.pdb,-1335.465,0.8574,0
6ACG_6w.pdb,-1336.542,0.8564,0
6ACG_7w.pdb,-1376.784,0.8567,1
6ACG_8w.pdb,-997.625,0.8553,0
6ACG_9w.pdb,-1600.624,0.858,0
