structure,HADDOCK-score,atomic-clashes
6C06_10.pdb,,5
6C06_12.pdb,,3
6C06_15.pdb,,2
6C06_17.pdb,,2
6C06_18.pdb,,0
6C06_19.pdb,,3
6C06_2.pdb,,3
6C06_20.pdb,,1
6C06_23.pdb,,3
6C06_24.pdb,,2
6C06_25.pdb,,4
6C06_26.pdb,,3
6C06_27.pdb,,5
6C06_28.pdb,,1
6C06_29.pdb,,4
6C06_3.pdb,,4
6C06_30.pdb,,4
6C06_31.pdb,,1
6C06_32.pdb,,4
6C06_33.pdb,,5
6C06_34.pdb,,5
6C06_37.pdb,,1
6C06_39.pdb,,3
6C06_4.pdb,,2
6C06_41.pdb,,4
6C06_43.pdb,,2
6C06_44.pdb,,3
6C06_45.pdb,,1
6C06_47.pdb,,3
6C06_48.pdb,,1
6C06_49.pdb,,3
6C06_5.pdb,,5
6C06_6.pdb,,1
6C06_8.pdb,,3
