structure,HADDOCK-score,correlation,atomic-clashes
6N1Q_10w.pdb,-1013.9893,0.8918,0
6N1Q_11w.pdb,-1026.5333,0.8892,0
6N1Q_12w.pdb,-755.8357,0.8713,0
6N1Q_13w.pdb,-882.928,0.883,1
6N1Q_14w.pdb,-1027.5841,0.8896,0
6N1Q_15w.pdb,-1019.4064,0.8835,0
6N1Q_16w.pdb,-747.9554,0.8607,0
6N1Q_17w.pdb,-919.5909,0.8764,0
6N1Q_18w.pdb,-956.0431,0.892,0
6N1Q_19w.pdb,-999.0731,0.8771,0
6N1Q_1w.pdb,-980.1222,0.8788,0
6N1Q_20w.pdb,-941.5269,0.8844,1
6N1Q_21w.pdb,-967.4727,0.8834,0
6N1Q_22w.pdb,-747.9554,0.8607,0
6N1Q_23w.pdb,-850.8338,0.8804,0
6N1Q_24w.pdb,-945.1212,0.8891,0
6N1Q_25w.pdb,-935.7949,0.8886,0
6N1Q_26w.pdb,-747.9554,0.8607,0
6N1Q_27w.pdb,-953.078,0.8717,0
6N1Q_28w.pdb,-899.154,0.8849,0
6N1Q_29w.pdb,-934.2112,0.8873,0
6N1Q_2w.pdb,-1014.4178,0.8825,0
6N1Q_30w.pdb,-888.1873,0.8877,0
6N1Q_31w.pdb,-968.2368,0.8861,0
6N1Q_32w.pdb,-946.2638,0.8837,0
6N1Q_33w.pdb,-978.9266,0.8859,0
6N1Q_34w.pdb,-821.1697,0.8716,0
6N1Q_35w.pdb,-843.5559,0.8755,1
6N1Q_36w.pdb,-747.9554,0.8607,0
6N1Q_37w.pdb,-747.9554,0.8607,0
6N1Q_38w.pdb,-1019.1735,0.8908,0
6N1Q_39w.pdb,-747.9554,0.8607,0
6N1Q_3w.pdb,-747.9554,0.8607,0
6N1Q_40w.pdb,-898.8562,0.8823,0
6N1Q_41w.pdb,-933.4011,0.8803,1
6N1Q_42w.pdb,-966.874,0.8857,0
6N1Q_43w.pdb,-986.1192,0.8891,1
6N1Q_44w.pdb,-835.0589,0.8876,1
6N1Q_45w.pdb,-732.6665,0.8629,0
6N1Q_46w.pdb,-886.8223,0.8774,0
6N1Q_47w.pdb,-771.6277,0.8625,0
6N1Q_48w.pdb,-892.8861,0.8811,0
6N1Q_49w.pdb,-938.822,0.8899,0
6N1Q_4w.pdb,-798.4063,0.8733,0
6N1Q_50w.pdb,-1028.4018,0.8906,0
6N1Q_5w.pdb,-930.4065,0.8846,0
6N1Q_6w.pdb,-803.3047,0.8779,0
6N1Q_7w.pdb,-976.9052,0.8893,0
6N1Q_8w.pdb,-780.0914,0.884,0
6N1Q_9w.pdb,-1023.8037,0.8863,0
