structure,HADDOCK-score,correlation
6IRF_1.pdb,,0.8868
6IRF_10.pdb,,0.8868
6IRF_11.pdb,,0.8859
6IRF_13.pdb,,0.8866
6IRF_14.pdb,,0.8856
6IRF_15.pdb,,0.8844
6IRF_16.pdb,,0.8873
6IRF_17.pdb,,0.8865
6IRF_19.pdb,,0.8874
6IRF_2.pdb,,0.885
6IRF_20.pdb,,0.8878
6IRF_21.pdb,,0.8849
6IRF_22.pdb,,0.885
6IRF_23.pdb,,0.8858
6IRF_24.pdb,,0.8882
6IRF_25.pdb,,0.8883
6IRF_26.pdb,,0.8871
6IRF_27.pdb,,0.8912
6IRF_28.pdb,,0.8881
6IRF_29.pdb,,0.8864
6IRF_3.pdb,,0.8881
6IRF_30.pdb,,0.8875
6IRF_31.pdb,,0.8852
6IRF_32.pdb,,0.8852
6IRF_33.pdb,,0.8855
6IRF_34.pdb,,0.8868
6IRF_35.pdb,,0.8857
6IRF_36.pdb,,0.8912
6IRF_37.pdb,,0.887
6IRF_39.pdb,,0.8857
6IRF_41.pdb,,0.8862
6IRF_42.pdb,,0.8868
6IRF_43.pdb,,0.8861
6IRF_45.pdb,,0.8853
6IRF_46.pdb,,0.8882
6IRF_47.pdb,,0.8867
6IRF_48.pdb,,0.8841
6IRF_49.pdb,,0.8868
6IRF_5.pdb,,0.8827
6IRF_50.pdb,,0.8876
6IRF_6.pdb,,0.8878
6IRF_7.pdb,,0.8838
6IRF_8.pdb,,0.8886
6IRF_9.pdb,,0.8852
