structure,HADDOCK-score,atomic-clashes
5WCB_1.pdb,-1899.4607,3
5WCB_10.pdb,-1726.5526,3
5WCB_11.pdb,-1903.0757,0
5WCB_12.pdb,-1796.5996,4
5WCB_13.pdb,-1888.3295,0
5WCB_14.pdb,-2017.8576,3
5WCB_15.pdb,-1810.3682,3
5WCB_16.pdb,-1666.8414,1
5WCB_17.pdb,-1720.2722,0
5WCB_18.pdb,-1837.4687,2
5WCB_19.pdb,-2128.3134,1
5WCB_2.pdb,-1805.7486,2
5WCB_20.pdb,-1740.9259,1
5WCB_21.pdb,-1744.3868,2
5WCB_22.pdb,-1834.9637,1
5WCB_23.pdb,-1913.6387,1
5WCB_24.pdb,-2061.4031,3
5WCB_25.pdb,-1716.0107,1
5WCB_26.pdb,-1892.6877,1
5WCB_27.pdb,-1850.8134,1
5WCB_28.pdb,-1823.1335,1
5WCB_29.pdb,-1802.3076,1
5WCB_3.pdb,-1844.7189,1
5WCB_30.pdb,-1835.4674,1
5WCB_31.pdb,-1932.1789,2
5WCB_32.pdb,-1959.6822,3
5WCB_33.pdb,-1954.4786,0
5WCB_34.pdb,-1816.4391,1
5WCB_35.pdb,-1907.9274,1
5WCB_36.pdb,-1780.2396,2
5WCB_37.pdb,-1874.6302,1
5WCB_38.pdb,-1735.8083,2
5WCB_39.pdb,-1759.6744,2
5WCB_4.pdb,-1874.3144,3
5WCB_40.pdb,-1960.2865,2
5WCB_41.pdb,-1897.8293,1
5WCB_42.pdb,-1890.523,1
5WCB_43.pdb,-1905.1575,2
5WCB_44.pdb,-1746.0475,0
5WCB_45.pdb,-1979.2105,1
5WCB_46.pdb,-1889.3692,0
5WCB_47.pdb,-1890.9346,1
5WCB_48.pdb,-1875.1798,2
5WCB_49.pdb,-1805.5486,2
5WCB_5.pdb,-1745.4788,2
5WCB_50.pdb,-1890.3826,2
5WCB_6.pdb,-1841.8115,1
5WCB_7.pdb,-1846.4794,0
5WCB_8.pdb,-1983.1769,2
5WCB_9.pdb,-1853.084,1
