structure,HADDOCK-score,correlation,atomic-clashes
6UBY_10w.pdb,-1178.167486,0.9509,0
6UBY_11w.pdb,-1160.268932,0.9506,0
6UBY_12w.pdb,-1198.3374267,0.9514,0
6UBY_13w.pdb,-1179.289873,0.9505,0
6UBY_14w.pdb,-1177.460258,0.9506,0
6UBY_15w.pdb,-1184.867383,0.9512,0
6UBY_16w.pdb,-1158.453013,0.9517,0
6UBY_17w.pdb,-1210.235165,0.952,0
6UBY_18w.pdb,-1199.642054,0.9509,0
6UBY_19w.pdb,-1175.798861,0.9513,0
6UBY_1w.pdb,-1172.86411,0.9516,0
6UBY_20w.pdb,-1182.703999,0.9516,0
6UBY_21w.pdb,-1209.6151565,0.9508,0
6UBY_22w.pdb,-1213.528762,0.9515,0
6UBY_23w.pdb,-1188.044347,0.9513,0
6UBY_24w.pdb,-1145.4047234,0.9505,0
6UBY_25w.pdb,-1188.1572051,0.9511,0
6UBY_26w.pdb,-1210.72783,0.9508,0
6UBY_27w.pdb,-1177.611675,0.9506,0
6UBY_28w.pdb,-1182.565261,0.9514,0
6UBY_29w.pdb,-1170.794589,0.9507,0
6UBY_2w.pdb,-1236.653915,0.9512,0
6UBY_30w.pdb,-1218.718031,0.9506,0
6UBY_31w.pdb,-1201.4656848,0.9509,0
6UBY_32w.pdb,-1199.0072002,0.9506,0
6UBY_33w.pdb,-1212.591457,0.9512,0
6UBY_34w.pdb,-1174.170797,0.9505,0
6UBY_35w.pdb,-1134.784828,0.9514,0
6UBY_36w.pdb,-1212.314785,0.9512,0
6UBY_37w.pdb,-1190.892232,0.9512,0
6UBY_38w.pdb,-1186.622965,0.9518,0
6UBY_39w.pdb,-1162.859197,0.9511,0
6UBY_3w.pdb,-1224.322404,0.9508,0
6UBY_40w.pdb,-1168.70243,0.9508,0
6UBY_41w.pdb,-1175.806617,0.9512,0
6UBY_42w.pdb,-1196.1463932,0.9505,0
6UBY_43w.pdb,-1185.908285,0.9515,0
6UBY_44w.pdb,-1247.394741,0.951,0
6UBY_45w.pdb,-1174.4232906,0.951,0
6UBY_46w.pdb,-1191.4390383,0.9504,0
6UBY_47w.pdb,-1200.497929,0.9514,0
6UBY_48w.pdb,-1209.436274,0.9511,0
6UBY_49w.pdb,-1165.710353,0.9516,0
6UBY_4w.pdb,-1186.725644,0.9509,0
6UBY_50w.pdb,-1195.181714,0.9508,0
6UBY_5w.pdb,-1186.919704,0.9503,0
6UBY_6w.pdb,-1181.645614,0.9511,0
6UBY_7w.pdb,-1182.458064,0.9511,0
6UBY_8w.pdb,-1208.958983,0.9507,0
6UBY_9w.pdb,-1185.42556,0.9513,0
