structure,HADDOCK-score,atomic-clashes
6N8T_1.pdb,-5555.0961,18
6N8T_10.pdb,-5434.45131,21
6N8T_11.pdb,-5434.34012,21
6N8T_12.pdb,-5873.9833,12
6N8T_13.pdb,-5518.4743,15
6N8T_14.pdb,-5585.8309,17
6N8T_15.pdb,-5556.9376,15
6N8T_16.pdb,-5476.6474,14
6N8T_17.pdb,-5511.3009,15
6N8T_18.pdb,-6096.0449,17
6N8T_19.pdb,-5950.7369,15
6N8T_2.pdb,-5432.8321,21
6N8T_20.pdb,-5425.8082,10
6N8T_21.pdb,-5691.6184,12
6N8T_22.pdb,-5821.0923,20
6N8T_23.pdb,-5580.3652,14
6N8T_24.pdb,-5928.0691,12
6N8T_25.pdb,-5453.0712,12
6N8T_26.pdb,-5185.668,13
6N8T_27.pdb,-5828.1693,21
6N8T_28.pdb,-6003.7836,17
6N8T_29.pdb,-5850.2676,14
6N8T_3.pdb,-5433.41858,21
6N8T_30.pdb,-5555.3504,15
6N8T_31.pdb,-5717.9897,14
6N8T_32.pdb,-5910.2711,20
6N8T_33.pdb,-5781.4511,16
6N8T_34.pdb,-5563.4911,12
6N8T_35.pdb,-6069.5191,16
6N8T_36.pdb,-5598.697,19
6N8T_37.pdb,-5511.5444,14
6N8T_38.pdb,-5630.4155,13
6N8T_39.pdb,-5440.85685,21
6N8T_4.pdb,-5818.6071,16
6N8T_40.pdb,-5995.0677,13
6N8T_41.pdb,-5568.4683,12
6N8T_42.pdb,-5278.6058,16
6N8T_43.pdb,-4951.5879,22
6N8T_44.pdb,-5408.7803,11
6N8T_45.pdb,-5579.9568,14
6N8T_46.pdb,-5740.9113,14
6N8T_47.pdb,-5438.37689,21
6N8T_48.pdb,-5601.9188,17
6N8T_49.pdb,-5433.5077,21
6N8T_5.pdb,-5428.6978,21
6N8T_50.pdb,-5297.0565,15
6N8T_6.pdb,-5433.7115,21
6N8T_7.pdb,-5164.447,15
6N8T_8.pdb,-5897.2986,17
6N8T_9.pdb,-6150.9862,21
