structure,HADDOCK-score,correlation
6N8T_1.pdb,,0.8737
6N8T_10.pdb,,0.8681
6N8T_12.pdb,,0.8696
6N8T_13.pdb,,0.871
6N8T_14.pdb,,0.8753
6N8T_15.pdb,,0.8741
6N8T_18.pdb,,0.8772
6N8T_19.pdb,,0.8678
6N8T_20.pdb,,0.8711
6N8T_21.pdb,,0.8723
6N8T_22.pdb,,0.8773
6N8T_23.pdb,,0.8716
6N8T_25.pdb,,0.8683
6N8T_26.pdb,,0.8736
6N8T_27.pdb,,0.8729
6N8T_28.pdb,,0.8747
6N8T_29.pdb,,0.8714
6N8T_3.pdb,,0.8747
6N8T_30.pdb,,0.8668
6N8T_31.pdb,,0.8737
6N8T_32.pdb,,0.8785
6N8T_33.pdb,,0.8686
6N8T_34.pdb,,0.8748
6N8T_35.pdb,,0.8701
6N8T_36.pdb,,0.8761
6N8T_38.pdb,,0.8695
6N8T_39.pdb,,0.8767
6N8T_4.pdb,,0.8736
6N8T_40.pdb,,0.8751
6N8T_43.pdb,,0.8748
6N8T_44.pdb,,0.8753
6N8T_45.pdb,,0.8693
6N8T_47.pdb,,0.8742
6N8T_48.pdb,,0.8704
6N8T_49.pdb,,0.875
6N8T_50.pdb,,0.8707
6N8T_7.pdb,,0.8745
6N8T_8.pdb,,0.8736
