structure,HADDOCK-score,correlation,atomic-clashes
3J95_10w.pdb,-1248.4411,0.9284,0
3J95_11w.pdb,-1333.9849,0.9296,1
3J95_12w.pdb,-1194.8132,0.9291,0
3J95_13w.pdb,-1273.1813,0.9289,0
3J95_14w.pdb,-1142.0925,0.93,0
3J95_15w.pdb,-1182.0692,0.9272,0
3J95_16w.pdb,-1333.7519,0.9306,0
3J95_17w.pdb,-1185.5323,0.9294,0
3J95_18w.pdb,-1311.6431,0.9306,0
3J95_19w.pdb,-1283.1777,0.9307,1
3J95_1w.pdb,-1157.4033,0.9279,0
3J95_20w.pdb,-1325.3272,0.9313,0
3J95_21w.pdb,-1273.6903,0.9314,0
3J95_22w.pdb,-1268.3437,0.9294,1
3J95_23w.pdb,-1147.5778,0.9286,0
3J95_24w.pdb,-1261.165,0.9272,1
3J95_25w.pdb,-1275.6319,0.9288,0
3J95_26w.pdb,-1274.3625,0.9271,1
3J95_27w.pdb,-1266.2154,0.9292,2
3J95_28w.pdb,-1224.397,0.9298,0
3J95_29w.pdb,-1129.0812,0.9254,0
3J95_2w.pdb,-1170.2939,0.9304,1
3J95_30w.pdb,-1242.33,0.9318,0
3J95_31w.pdb,-1273.3433,0.9305,0
3J95_32w.pdb,-1266.8937,0.9289,0
3J95_33w.pdb,-1279.0328,0.9296,1
3J95_34w.pdb,-1252.13,0.9285,0
3J95_35w.pdb,-1183.9143,0.9284,1
3J95_36w.pdb,-1245.9532,0.9336,0
3J95_37w.pdb,-1219.9417,0.9271,0
3J95_38w.pdb,-1214.2811,0.9289,1
3J95_39w.pdb,-1179.2161,0.9261,1
3J95_3w.pdb,-1279.1956,0.929,0
3J95_40w.pdb,-1255.0429,0.9299,0
3J95_41w.pdb,-1232.3144,0.9307,1
3J95_42w.pdb,-1187.3394,0.9278,0
3J95_43w.pdb,-1156.8043,0.9243,0
3J95_44w.pdb,-1256.4836,0.9272,0
3J95_45w.pdb,-1171.8231,0.9286,0
3J95_46w.pdb,-1142.7779,0.9249,0
3J95_47w.pdb,-1182.1822,0.9288,0
3J95_48w.pdb,-1258.4054,0.9293,1
3J95_49w.pdb,-1269.9723,0.9304,0
3J95_4w.pdb,-1311.4865,0.9296,0
3J95_50w.pdb,-1150.8749,0.9285,0
3J95_5w.pdb,-1407.1814,0.9316,1
3J95_6w.pdb,-1226.417,0.9287,0
3J95_7w.pdb,-1223.44555,0.9383,2
3J95_8w.pdb,-1297.0485,0.9303,2
3J95_9w.pdb,-1372.4677,0.9299,3
