structure,HADDOCK-score,atomic-clashes
6N1Q_1.pdb,-2151.8416,1
6N1Q_10.pdb,-2041.2192,1
6N1Q_11.pdb,-1242.498,0
6N1Q_12.pdb,-1933.6576,0
6N1Q_13.pdb,-2016.733,1
6N1Q_14.pdb,-1968.7174,2
6N1Q_15.pdb,-1920.003,0
6N1Q_16.pdb,-2139.0101,0
6N1Q_17.pdb,-1974.9204,1
6N1Q_18.pdb,-2063.4821,0
6N1Q_19.pdb,-2032.4727,1
6N1Q_2.pdb,-1891.3809,0
6N1Q_20.pdb,-1602.6885,0
6N1Q_21.pdb,-1975.9487,0
6N1Q_22.pdb,-1863.3652,1
6N1Q_23.pdb,-1728.5875,0
6N1Q_24.pdb,-1839.0471,2
6N1Q_25.pdb,-2187.7235,0
6N1Q_26.pdb,-1971.2381,2
6N1Q_27.pdb,-1902.5197,1
6N1Q_28.pdb,-2017.4821,0
6N1Q_29.pdb,-2023.6316,1
6N1Q_3.pdb,-2017.1722,1
6N1Q_30.pdb,-1772.5185,0
6N1Q_31.pdb,-2275.9582,1
6N1Q_32.pdb,-2155.4634,1
6N1Q_33.pdb,-1904.388,1
6N1Q_34.pdb,-1994.7639,1
6N1Q_35.pdb,-2189.5366,2
6N1Q_36.pdb,-2359.2536,0
6N1Q_37.pdb,-1643.4126,0
6N1Q_38.pdb,-1997.4964,0
6N1Q_39.pdb,-2366.9614,1
6N1Q_4.pdb,-2477.2619,1
6N1Q_40.pdb,-2224.8437,2
6N1Q_41.pdb,-2154.6611,0
6N1Q_42.pdb,-2055.6032,0
6N1Q_43.pdb,-2329.6512,0
6N1Q_44.pdb,-1909.2886,1
6N1Q_45.pdb,-2137.275,0
6N1Q_46.pdb,-2004.888,1
6N1Q_47.pdb,-1935.8571,1
6N1Q_48.pdb,-2135.0201,0
6N1Q_49.pdb,-2194.8011,0
6N1Q_5.pdb,-1889.6545,2
6N1Q_50.pdb,-2135.0786,1
6N1Q_6.pdb,-2003.9676,0
6N1Q_7.pdb,-2103.3886,0
6N1Q_8.pdb,-2026.9494,1
6N1Q_9.pdb,-1956.1078,1
