structure,HADDOCK-score,atomic-clashes
6AHF_1.pdb,-1934.2301,4
6AHF_10.pdb,-2774.4185,4
6AHF_11.pdb,-2460.8437,5
6AHF_12.pdb,-2937.4844,3
6AHF_13.pdb,-2935.0628,6
6AHF_14.pdb,-1943.6208,4
6AHF_15.pdb,-2601.5459,4
6AHF_16.pdb,-2830.9924,4
6AHF_17.pdb,-2469.4047,2
6AHF_18.pdb,-2541.4249,3
6AHF_19.pdb,-2596.9928,3
6AHF_2.pdb,-1924.2487,4
6AHF_20.pdb,-2344.3875,1
6AHF_21.pdb,-2464.6036,3
6AHF_22.pdb,-1919.7676,4
6AHF_23.pdb,-2704.8691,4
6AHF_24.pdb,-2619.8932,2
6AHF_25.pdb,-2485.0519,2
6AHF_26.pdb,-2723.3568,4
6AHF_27.pdb,-2476.5895,7
6AHF_28.pdb,-2636.3968,4
6AHF_29.pdb,-2632.6666,2
6AHF_3.pdb,-2495.3283,3
6AHF_30.pdb,-2492.0199,3
6AHF_31.pdb,-2764.5995,5
6AHF_32.pdb,-2653.5076,2
6AHF_33.pdb,-2657.9031,1
6AHF_34.pdb,-2362.7668,2
6AHF_35.pdb,-2612.1584,4
6AHF_36.pdb,-1926.5783,4
6AHF_37.pdb,-2278.3322,1
6AHF_38.pdb,-2314.1752,1
6AHF_39.pdb,-2591.9706,4
6AHF_4.pdb,-2560.4227,2
6AHF_40.pdb,-2508.9947,2
6AHF_41.pdb,-1928.3952,4
6AHF_42.pdb,-2602.6962,2
6AHF_43.pdb,-2525.3096,5
6AHF_44.pdb,-2502.3326,3
6AHF_45.pdb,-1921.0574,4
6AHF_46.pdb,-2195.5659,5
6AHF_47.pdb,-2522.6856,2
6AHF_48.pdb,-2361.3032,1
6AHF_49.pdb,-2689.7985,2
6AHF_5.pdb,-2702.8287,1
6AHF_50.pdb,-2544.8107,0
6AHF_6.pdb,-2738.5681,3
6AHF_7.pdb,-2493.3426,4
6AHF_8.pdb,-2413.663,0
6AHF_9.pdb,-2601.8057,3
