structure,HADDOCK-score,correlation
5WCB_1.pdb,-2251.73983,0.8971
5WCB_10.pdb,-2299.71697,0.893
5WCB_11.pdb,-2287.36951,0.895
5WCB_12.pdb,-2180.74841,0.8943
5WCB_13.pdb,-2367.56699,0.895
5WCB_14.pdb,-2315.28205,0.8975
5WCB_15.pdb,-2354.0849,0.8972
5WCB_16.pdb,-2392.502,0.8961
5WCB_17.pdb,-2201.04499,0.8965
5WCB_18.pdb,-2218.89036,0.8989
5WCB_19.pdb,-2244.98688,0.8939
5WCB_2.pdb,-2341.02368,0.8979
5WCB_20.pdb,-2138.81067,0.8957
5WCB_21.pdb,-2375.04665,0.8973
5WCB_22.pdb,-2143.6066,0.8949
5WCB_23.pdb,-2343.90166,0.8967
5WCB_24.pdb,-2349.39383,0.9
5WCB_25.pdb,-2281.40668,0.8963
5WCB_26.pdb,-2428.71463,0.8984
5WCB_27.pdb,-2160.48881,0.8949
5WCB_28.pdb,-2305.93043,0.895
5WCB_29.pdb,-2279.42235,0.8971
5WCB_3.pdb,-2087.6526,0.8958
5WCB_30.pdb,-2356.84622,0.8954
5WCB_31.pdb,-2337.84896,0.8962
5WCB_32.pdb,-2398.50519,0.8976
5WCB_33.pdb,-2253.04176,0.896
5WCB_34.pdb,-2135.72843,0.894
5WCB_35.pdb,-2273.43522,0.8974
5WCB_36.pdb,-2302.74095,0.8986
5WCB_37.pdb,-2264.07256,0.8959
5WCB_38.pdb,-2211.4654,0.898
5WCB_39.pdb,-2191.59578,0.8954
5WCB_4.pdb,-2245.6275,0.8981
5WCB_40.pdb,-2305.619,0.8949
5WCB_41.pdb,-2405.49279,0.8983
5WCB_42.pdb,-2244.9426,0.8956
5WCB_43.pdb,-2161.35622,0.8944
5WCB_44.pdb,-2190.4536,0.8959
5WCB_45.pdb,-2247.59688,0.8992
5WCB_46.pdb,-2153.63342,0.8968
5WCB_47.pdb,-2134.35994,0.897
5WCB_48.pdb,-2225.21037,0.8958
5WCB_49.pdb,-2361.79047,0.8981
5WCB_5.pdb,-2317.06352,0.8967
5WCB_50.pdb,-2246.71159,0.8967
5WCB_6.pdb,-2370.35064,0.8991
5WCB_7.pdb,-2315.30002,0.8963
5WCB_8.pdb,-2243.60201,0.8964
5WCB_9.pdb,-2138.0795,0.8966
