structure,HADDOCK-score,correlation
6N7G_1.pdb,-1626.3802,0.9148
6N7G_10.pdb,-2033.6638,0.9129
6N7G_11.pdb,-1997.7573,0.9141
6N7G_12.pdb,-2055.53781,0.916
6N7G_13.pdb,-1860.1221,0.914
6N7G_14.pdb,-1908.8451,0.9139
6N7G_15.pdb,-1927.7557,0.9129
6N7G_16.pdb,-1875.878,0.9149
6N7G_17.pdb,-1814.8824,0.9155
6N7G_18.pdb,-1905.7556,0.914
6N7G_19.pdb,-1840.32833,0.9145
6N7G_2.pdb,-1569.6624,0.9108
6N7G_20.pdb,-1985.8357,0.9155
6N7G_21.pdb,-1914.8848,0.9154
6N7G_22.pdb,-1743.056,0.9132
6N7G_23.pdb,-1998.7495,0.9151
6N7G_24.pdb,-2095.1295,0.9163
6N7G_25.pdb,-1938.7751,0.916
6N7G_26.pdb,-1969.5349,0.9159
6N7G_27.pdb,-2029.10169,0.9147
6N7G_28.pdb,-1836.7192,0.9132
6N7G_29.pdb,-1890.3731,0.9127
6N7G_3.pdb,-1958.8479,0.9154
6N7G_30.pdb,-1953.331,0.9164
6N7G_31.pdb,-1996.56,0.9154
6N7G_32.pdb,-1826.0642,0.9135
6N7G_33.pdb,-1944.2126,0.9134
6N7G_34.pdb,-1939.1801,0.915
6N7G_35.pdb,-1984.17326,0.9141
6N7G_36.pdb,-1668.7831,0.9139
6N7G_37.pdb,-2107.93239,0.9148
6N7G_38.pdb,-1929.8236,0.9129
6N7G_39.pdb,-2156.37996,0.9134
6N7G_4.pdb,-1838.6277,0.915
6N7G_40.pdb,-1761.80654,0.9147
6N7G_41.pdb,-1912.6884,0.9132
6N7G_42.pdb,-1612.0909,0.9107
6N7G_43.pdb,-1759.1947,0.9105
6N7G_44.pdb,-1820.4266,0.9118
6N7G_45.pdb,-1919.1035,0.9134
6N7G_46.pdb,-1859.9004,0.9159
6N7G_47.pdb,-1835.1089,0.9164
6N7G_48.pdb,-2198.87331,0.9161
6N7G_49.pdb,-1980.5723,0.9147
6N7G_5.pdb,-1782.71566,0.9151
6N7G_50.pdb,-1840.7353,0.916
6N7G_6.pdb,-1848.4752,0.9156
6N7G_7.pdb,-1983.747,0.9155
6N7G_8.pdb,-1744.2751,0.9128
6N7G_9.pdb,-2100.8816,0.9152
