structure,HADDOCK-score,atomic-clashes
6N8Z_1.pdb,-5070.9463,8
6N8Z_10.pdb,-5001.5118,14
6N8Z_11.pdb,-5809.1964,10
6N8Z_12.pdb,-5493.084,13
6N8Z_13.pdb,-5393.761,16
6N8Z_14.pdb,-5119.8306,13
6N8Z_15.pdb,-5622.6197,12
6N8Z_16.pdb,-5341.9816,13
6N8Z_17.pdb,-4969.0546,14
6N8Z_18.pdb,-5141.3109,6
6N8Z_19.pdb,-5463.4974,9
6N8Z_2.pdb,-5588.1949,12
6N8Z_20.pdb,-4952.0424,14
6N8Z_21.pdb,-4602.1092,15
6N8Z_22.pdb,-5458.3925,10
6N8Z_23.pdb,-5157.6123,13
6N8Z_24.pdb,-5188.122,16
6N8Z_25.pdb,-4599.0382,9
6N8Z_26.pdb,-5262.6253,12
6N8Z_27.pdb,-4902.99786,17
6N8Z_28.pdb,-5696.822,12
6N8Z_29.pdb,-5836.6804,11
6N8Z_3.pdb,-5520.827,17
6N8Z_30.pdb,-5164.6846,7
6N8Z_31.pdb,-4866.8242,7
6N8Z_32.pdb,-5090.093,12
6N8Z_33.pdb,-5437.4479,8
6N8Z_34.pdb,-5245.9446,14
6N8Z_35.pdb,-5375.9902,16
6N8Z_36.pdb,-4899.1085,11
6N8Z_37.pdb,-4807.3795,15
6N8Z_38.pdb,-5473.5755,12
6N8Z_39.pdb,-4978.3478,12
6N8Z_4.pdb,-5592.5962,24
6N8Z_40.pdb,-5284.7584,9
6N8Z_41.pdb,-5150.3091,14
6N8Z_42.pdb,-5428.6053,12
6N8Z_43.pdb,-5221.1258,11
6N8Z_44.pdb,-5208.1462,12
6N8Z_45.pdb,-5375.3651,14
6N8Z_46.pdb,-5360.6958,13
6N8Z_47.pdb,-5232.567,10
6N8Z_48.pdb,-5639.0406,14
6N8Z_49.pdb,-4941.9537,9
6N8Z_5.pdb,-5498.3396,11
6N8Z_50.pdb,-5254.0701,8
6N8Z_6.pdb,-5144.6435,12
6N8Z_7.pdb,-5377.6956,10
6N8Z_8.pdb,-4910.9024,11
6N8Z_9.pdb,-4450.0854,14
