structure,HADDOCK-score,atomic-clashes
6C06_10.pdb,-4193.4599,3
6C06_11.pdb,-4879.598,5
6C06_12.pdb,-4147.349,0
6C06_13.pdb,-4253.7529,4
6C06_14.pdb,-2603.7421,4
6C06_15.pdb,-3898.2513,0
6C06_16.pdb,-3691.8585,4
6C06_17.pdb,-3917.2141,3
6C06_18.pdb,-4049.965,2
6C06_19.pdb,-3808.2608,2
6C06_1.pdb,-2603.7421,4
6C06_20.pdb,-4322.841,3
6C06_21.pdb,-3932.423,2
6C06_22.pdb,-4192.7205,3
6C06_23.pdb,-3887.9533,3
6C06_24.pdb,-3903.342,1
6C06_25.pdb,-4083.4879,5
6C06_26.pdb,-4193.5288,2
6C06_27.pdb,-3821.9669,1
6C06_28.pdb,-2603.7421,4
6C06_29.pdb,-4198.7285,4
6C06_2.pdb,-4203.2207,2
6C06_30.pdb,-4098.2874,6
6C06_31.pdb,-2603.7421,4
6C06_32.pdb,-3819.0149,3
6C06_33.pdb,-3824.2583,5
6C06_34.pdb,-4119.2629,4
6C06_35.pdb,-4281.577,2
6C06_36.pdb,-2603.7421,4
6C06_37.pdb,-4264.6981,2
6C06_38.pdb,-3966.6236,3
6C06_39.pdb,-3999.4876,4
6C06_3.pdb,-4167.8748,3
6C06_40.pdb,-3739.4416,1
6C06_41.pdb,-3846.6269,4
6C06_42.pdb,-2603.7421,4
6C06_43.pdb,-2603.7421,4
6C06_44.pdb,-4054.739,5
6C06_45.pdb,-4465.4874,3
6C06_46.pdb,-3890.6779,4
6C06_47.pdb,-4240.6314,4
6C06_48.pdb,-3999.7002,4
6C06_49.pdb,-3535.5285,1
6C06_4.pdb,-3685.0652,2
6C06_50.pdb,-4096.3904,4
6C06_5.pdb,-4013.8724,2
6C06_6.pdb,-3830.9547,2
6C06_7.pdb,-3502.5729,1
6C06_8.pdb,-2603.7421,4
6C06_9.pdb,-4367.8969,5
