structure,HADDOCK-score,correlation,atomic-clashes
6R7I_10w.pdb,-2692.1549,0.8823,2
6R7I_11w.pdb,-1142.9234,0.8812,20
6R7I_12w.pdb,-1143.0831,0.8829,18
6R7I_13w.pdb,-1162.5531,0.8814,17
6R7I_14w.pdb,-1223.0009,0.879,19
6R7I_15w.pdb,-1158.306,0.8799,18
6R7I_16w.pdb,-1163.2098,0.8775,19
6R7I_17w.pdb,-1152.9382,0.881,17
6R7I_18w.pdb,-1157.8139,0.8797,18
6R7I_19w.pdb,-1128.429,0.8785,20
6R7I_1w.pdb,-1150.1622,0.8823,18
6R7I_20w.pdb,-1092.8434,0.8805,21
6R7I_21w.pdb,-1238.3982,0.8788,18
6R7I_22w.pdb,-1246.9788,0.8788,18
6R7I_23w.pdb,-1125.6692,0.882,18
6R7I_24w.pdb,-1116.2997,0.8825,18
6R7I_25w.pdb,-1097.4022,0.8823,20
6R7I_26w.pdb,-1172.3065,0.8801,19
6R7I_27w.pdb,-1183.6956,0.8834,21
6R7I_28w.pdb,-1134.1602,0.8806,19
6R7I_29w.pdb,-2701.6741,0.8785,2
6R7I_2w.pdb,-1120.0957,0.879,20
6R7I_30w.pdb,-1217.392,0.8786,20
6R7I_31w.pdb,-1224.8507,0.8747,18
6R7I_32w.pdb,-1202.7102,0.8817,20
6R7I_33w.pdb,-1240.6811,0.8777,19
6R7I_34w.pdb,-1201.0697,0.8783,19
6R7I_35w.pdb,-1129.0,0.8804,20
6R7I_36w.pdb,-1190.0847,0.8775,19
6R7I_37w.pdb,-1194.7649,0.8795,19
6R7I_38w.pdb,-1216.7905,0.8771,17
6R7I_39w.pdb,-1236.8675,0.8795,20
6R7I_3w.pdb,-1132.5437,0.8764,18
6R7I_40w.pdb,-1089.9927,0.8816,19
6R7I_41w.pdb,-1089.0683,0.8795,22
6R7I_42w.pdb,-1132.4917,0.8811,20
6R7I_43w.pdb,-1236.3554,0.878,19
6R7I_44w.pdb,-1201.1332,0.8813,19
6R7I_45w.pdb,-2757.2719,0.8797,3
6R7I_46w.pdb,-1178.338,0.8816,20
6R7I_47w.pdb,-1225.2355,0.88,19
6R7I_48w.pdb,-1175.8892,0.8796,18
6R7I_49w.pdb,-1157.6653,0.8797,18
6R7I_4w.pdb,-1219.1108,0.8819,19
6R7I_50w.pdb,-1119.083,0.8798,20
6R7I_5w.pdb,-1149.8873,0.8802,19
6R7I_6w.pdb,-1123.2273,0.8812,19
6R7I_7w.pdb,-1125.4562,0.8755,18
6R7I_8w.pdb,-2711.3358,0.8796,3
6R7I_9w.pdb,-1245.6349,0.8805,18
