structure,HADDOCK-score,correlation,atomic-clashes
6UBY_10w.pdb,598.4328,0.9473,16
6UBY_11w.pdb,556.782,0.95,16
6UBY_12w.pdb,624.3114,0.9459,16
6UBY_13w.pdb,657.9987,0.9476,17
6UBY_14w.pdb,664.0296,0.9462,17
6UBY_15w.pdb,564.6083,0.9469,16
6UBY_16w.pdb,639.9765,0.9463,17
6UBY_17w.pdb,577.1228,0.9476,16
6UBY_18w.pdb,591.50026,0.9476,16
6UBY_19w.pdb,612.40218,0.9462,16
6UBY_1w.pdb,614.493,0.9463,17
6UBY_20w.pdb,644.0662,0.9442,16
6UBY_21w.pdb,633.36053,0.9495,17
6UBY_22w.pdb,665.96433,0.9482,16
6UBY_23w.pdb,616.954,0.9468,16
6UBY_24w.pdb,577.07935,0.9496,16
6UBY_25w.pdb,594.97207,0.9482,17
6UBY_26w.pdb,610.95193,0.9481,17
6UBY_27w.pdb,533.28008,0.9471,16
6UBY_28w.pdb,601.2759,0.9481,16
6UBY_29w.pdb,707.3252,0.9465,16
6UBY_2w.pdb,597.47527,0.9478,16
6UBY_30w.pdb,626.3732,0.9463,16
6UBY_31w.pdb,562.42353,0.9463,15
6UBY_32w.pdb,706.7832,0.9433,17
6UBY_33w.pdb,602.26336,0.9473,16
6UBY_34w.pdb,625.3891,0.9465,16
6UBY_35w.pdb,653.1278,0.9484,16
6UBY_36w.pdb,496.61736,0.9487,17
6UBY_37w.pdb,613.73578,0.9469,17
6UBY_38w.pdb,615.3818,0.9474,16
6UBY_39w.pdb,553.0774,0.9483,17
6UBY_3w.pdb,516.59365,0.9493,16
6UBY_40w.pdb,606.63104,0.9469,16
6UBY_41w.pdb,610.84476,0.9483,17
6UBY_42w.pdb,615.6559,0.9444,16
6UBY_43w.pdb,601.206,0.9484,16
6UBY_44w.pdb,685.17017,0.9465,16
6UBY_45w.pdb,603.4653,0.9475,16
6UBY_46w.pdb,658.30705,0.9452,15
6UBY_47w.pdb,584.02097,0.9488,16
6UBY_48w.pdb,561.82772,0.9475,16
6UBY_49w.pdb,618.94521,0.9469,16
6UBY_4w.pdb,647.3663,0.946,17
6UBY_50w.pdb,608.9222,0.9474,17
6UBY_5w.pdb,501.64135,0.949,17
6UBY_6w.pdb,561.49643,0.9464,16
6UBY_7w.pdb,574.19605,0.948,17
6UBY_8w.pdb,561.76982,0.9487,17
6UBY_9w.pdb,503.7719,0.9496,17
