structure,HADDOCK-score,correlation,atomic-clashes
6ACG_10w.pdb,-1742.59769,0.8534,0
6ACG_11w.pdb,-1743.02278,0.8529,0
6ACG_12w.pdb,-1747.8015,0.8536,0
6ACG_13w.pdb,-1738.41563,0.853,0
6ACG_14w.pdb,-1754.0517,0.8532,0
6ACG_15w.pdb,-1754.071,0.8533,0
6ACG_16w.pdb,-1752.60982,0.8535,0
6ACG_17w.pdb,-1735.19462,0.8529,0
6ACG_18w.pdb,-1738.55972,0.8534,0
6ACG_19w.pdb,-1729.06167,0.8531,0
6ACG_1w.pdb,-1757.52252,0.8531,0
6ACG_20w.pdb,-1747.47964,0.8532,0
6ACG_21w.pdb,-1737.81344,0.8532,0
6ACG_22w.pdb,-1739.26798,0.8531,0
6ACG_23w.pdb,-1742.12871,0.8529,0
6ACG_24w.pdb,-1735.9921,0.8533,0
6ACG_25w.pdb,-1758.53246,0.8537,0
6ACG_26w.pdb,-1735.9921,0.8533,0
6ACG_27w.pdb,-1757.05983,0.8532,0
6ACG_28w.pdb,-1748.29178,0.8529,0
6ACG_29w.pdb,-1750.09597,0.8532,0
6ACG_2w.pdb,-1744.12133,0.8534,0
6ACG_30w.pdb,-1757.05983,0.8532,0
6ACG_31w.pdb,-1727.85439,0.8531,0
6ACG_32w.pdb,-1757.05983,0.8532,0
6ACG_33w.pdb,-1752.39096,0.8533,0
6ACG_34w.pdb,-1746.69784,0.8536,0
6ACG_35w.pdb,-1744.43092,0.8537,0
6ACG_36w.pdb,-1735.79624,0.8532,0
6ACG_37w.pdb,-1737.85676,0.854,0
6ACG_38w.pdb,-1744.3426,0.8534,0
6ACG_39w.pdb,-1739.32052,0.8528,0
6ACG_3w.pdb,-1746.31977,0.8534,0
6ACG_40w.pdb,-1747.95127,0.8534,0
6ACG_41w.pdb,-1728.46383,0.8531,0
6ACG_42w.pdb,-1733.7634,0.853,0
6ACG_43w.pdb,-1732.52334,0.8533,0
6ACG_44w.pdb,-1757.52252,0.8531,0
6ACG_45w.pdb,-1750.09597,0.8532,0
6ACG_46w.pdb,-1743.62694,0.853,0
6ACG_47w.pdb,-1743.49432,0.8532,0
6ACG_48w.pdb,-1746.31977,0.8534,0
6ACG_49w.pdb,-1764.87238,0.8532,0
6ACG_4w.pdb,-1745.18361,0.8532,0
6ACG_50w.pdb,-1745.99688,0.8535,0
6ACG_5w.pdb,-1749.81536,0.8534,0
6ACG_6w.pdb,-1739.0548,0.8531,0
6ACG_7w.pdb,-1735.79828,0.8537,0
6ACG_8w.pdb,-1745.96031,0.8532,0
6ACG_9w.pdb,-1757.52252,0.8531,0
