structure,HADDOCK-score,correlation
6AHF_1.pdb,-2075.0822,0.8771
6AHF_10.pdb,-2162.0268,0.8658
6AHF_11.pdb,-2481.6183,0.8853
6AHF_12.pdb,-2376.7782,0.8803
6AHF_13.pdb,-2485.1315,0.8741
6AHF_14.pdb,-2363.9528,0.8807
6AHF_15.pdb,-2694.224,0.8643
6AHF_16.pdb,-2577.1929,0.8714
6AHF_17.pdb,-2258.0549,0.8751
6AHF_18.pdb,-2562.7796,0.8791
6AHF_19.pdb,-2124.3815,0.8721
6AHF_2.pdb,-2384.1794,0.8842
6AHF_20.pdb,-2733.3539,0.8823
6AHF_21.pdb,-2325.8511,0.8784
6AHF_22.pdb,-2337.3714,0.883
6AHF_23.pdb,-1792.45042,0.9019
6AHF_24.pdb,-2442.7043,0.8819
6AHF_25.pdb,-2580.7,0.8797
6AHF_26.pdb,-2147.944,0.8722
6AHF_27.pdb,-2760.0354,0.8674
6AHF_28.pdb,-1792.45042,0.9019
6AHF_29.pdb,-2297.9923,0.8749
6AHF_3.pdb,-2317.1934,0.8785
6AHF_30.pdb,-2225.6452,0.8783
6AHF_31.pdb,-2425.2978,0.874
6AHF_32.pdb,-2240.5401,0.8811
6AHF_33.pdb,-2433.6819,0.8768
6AHF_34.pdb,-2747.6136,0.8733
6AHF_35.pdb,-2065.1487,0.8706
6AHF_36.pdb,-1792.45042,0.9019
6AHF_37.pdb,-1792.45042,0.9019
6AHF_38.pdb,-2263.4922,0.8751
6AHF_39.pdb,-2379.2657,0.875
6AHF_4.pdb,-2309.2432,0.8774
6AHF_40.pdb,-2392.6844,0.8688
6AHF_41.pdb,-2309.2,0.8736
6AHF_42.pdb,-2423.3718,0.8851
6AHF_43.pdb,-2094.6355,0.8701
6AHF_44.pdb,-2257.3726,0.8695
6AHF_45.pdb,-1792.45042,0.9019
6AHF_46.pdb,-2059.1755,0.8818
6AHF_47.pdb,-2407.3515,0.8751
6AHF_48.pdb,-2339.2223,0.8708
6AHF_49.pdb,-2401.2154,0.8699
6AHF_5.pdb,-2437.701,0.8825
6AHF_50.pdb,-2329.7308,0.8751
6AHF_6.pdb,-2246.2044,0.8776
6AHF_7.pdb,-2454.2126,0.8854
6AHF_8.pdb,-2500.4837,0.8802
6AHF_9.pdb,-2591.8521,0.8728
