structure,HADDOCK-score,atomic-clashes
3J95_1.pdb,-3210.9571,0
3J95_10.pdb,-3188.9064,3
3J95_11.pdb,-2958.0602,0
3J95_12.pdb,-3184.6634,2
3J95_13.pdb,-3170.4769,0
3J95_14.pdb,-3019.1986,1
3J95_15.pdb,-3267.2953,0
3J95_16.pdb,-3018.1452,2
3J95_17.pdb,-3170.7982,1
3J95_18.pdb,-3022.1694,0
3J95_19.pdb,-3380.101,1
3J95_2.pdb,-3085.3807,1
3J95_20.pdb,-3121.1744,2
3J95_21.pdb,-1502.0117,3
3J95_22.pdb,-2932.9772,0
3J95_23.pdb,-2968.5413,1
3J95_24.pdb,-3041.3936,0
3J95_25.pdb,-3255.7168,2
3J95_26.pdb,-3166.6003,2
3J95_27.pdb,-3338.3118,1
3J95_28.pdb,-3251.1556,0
3J95_29.pdb,-3063.3583,0
3J95_3.pdb,-2931.3707,0
3J95_30.pdb,-3103.2723,3
3J95_31.pdb,-2838.0522,0
3J95_32.pdb,-3116.3769,0
3J95_33.pdb,-3229.7615,1
3J95_34.pdb,-2988.2731,0
3J95_35.pdb,-3307.45218,1
3J95_36.pdb,-2809.6427,0
3J95_37.pdb,-3253.6151,1
3J95_38.pdb,-3231.4194,2
3J95_39.pdb,-2967.3029,0
3J95_4.pdb,-3409.5991,2
3J95_40.pdb,-3293.4796,1
3J95_41.pdb,-3067.6664,0
3J95_42.pdb,-2899.2159,0
3J95_43.pdb,-3243.59,0
3J95_44.pdb,-3216.6652,2
3J95_45.pdb,-3339.9088,1
3J95_46.pdb,-3150.4112,1
3J95_47.pdb,-3202.686,2
3J95_48.pdb,-3156.4968,1
3J95_49.pdb,-3264.4357,2
3J95_5.pdb,-3097.3373,3
3J95_50.pdb,-3155.1302,0
3J95_6.pdb,-3122.151,0
3J95_7.pdb,-3166.266,1
3J95_8.pdb,-3308.1302,1
3J95_9.pdb,-3185.8228,0
