structure,HADDOCK-score,atomic-clashes
6C3P_1.pdb,-3597.5988,4
6C3P_10.pdb,-3456.8054,3
6C3P_11.pdb,-3666.2399,4
6C3P_12.pdb,-3183.2876,8
6C3P_13.pdb,-3583.9498,7
6C3P_14.pdb,-3571.3837,4
6C3P_15.pdb,-3534.4003,3
6C3P_16.pdb,-3658.152,8
6C3P_17.pdb,-3738.2027,7
6C3P_18.pdb,-3519.5898,10
6C3P_19.pdb,-3681.8121,11
6C3P_2.pdb,-3801.629,3
6C3P_20.pdb,-3279.417,3
6C3P_21.pdb,-3586.7016,4
6C3P_22.pdb,-3751.8234,11
6C3P_23.pdb,-3748.0139,3
6C3P_24.pdb,-3470.9621,2
6C3P_25.pdb,-3698.4883,3
6C3P_26.pdb,-3269.304,6
6C3P_27.pdb,-3679.5845,6
6C3P_28.pdb,-3578.3146,8
6C3P_29.pdb,-3183.2876,8
6C3P_3.pdb,-3571.6516,3
6C3P_30.pdb,-3514.4042,5
6C3P_31.pdb,-3693.0885,7
6C3P_32.pdb,-3699.1784,3
6C3P_33.pdb,-3801.8058,4
6C3P_34.pdb,-3556.3237,5
6C3P_35.pdb,-3559.4556,4
6C3P_36.pdb,-3395.6241,5
6C3P_37.pdb,-3183.2876,8
6C3P_38.pdb,-3533.3782,4
6C3P_39.pdb,-3760.8935,6
6C3P_4.pdb,-3854.0584,6
6C3P_40.pdb,-3183.2876,8
6C3P_41.pdb,-3183.2876,8
6C3P_42.pdb,-3788.4287,8
6C3P_43.pdb,-3683.5394,4
6C3P_44.pdb,-3183.2876,8
6C3P_45.pdb,-3706.8737,5
6C3P_46.pdb,-3501.2035,3
6C3P_47.pdb,-3654.1264,7
6C3P_48.pdb,-3183.2876,8
6C3P_49.pdb,-3590.9997,4
6C3P_5.pdb,-3563.7442,7
6C3P_50.pdb,-3636.2864,7
6C3P_6.pdb,-3703.7694,6
6C3P_7.pdb,-3520.9357,2
6C3P_8.pdb,-3527.9829,4
6C3P_9.pdb,-3624.3938,5
