structure,HADDOCK-score,atomic-clashes
5GRS_1.pdb,-4068.83465,8
5GRS_10.pdb,-3788.7091,3
5GRS_11.pdb,-3850.0874,6
5GRS_12.pdb,-4102.06118,5
5GRS_13.pdb,-4051.37787,4
5GRS_14.pdb,-3960.6828,6
5GRS_15.pdb,-4003.50839,6
5GRS_16.pdb,-3993.77421,6
5GRS_17.pdb,-3940.20327,4
5GRS_18.pdb,-3837.04945,4
5GRS_19.pdb,-3751.92579,5
5GRS_2.pdb,-4260.4602,4
5GRS_20.pdb,-4218.67817,8
5GRS_21.pdb,-4261.67592,9
5GRS_22.pdb,-4265.31265,8
5GRS_23.pdb,-4118.97925,4
5GRS_24.pdb,-4032.97273,8
5GRS_25.pdb,-3703.00751,1
5GRS_26.pdb,-3792.67954,8
5GRS_27.pdb,-3648.12624,8
5GRS_28.pdb,-3930.44092,6
5GRS_29.pdb,-4017.77579,8
5GRS_3.pdb,-3975.9945,5
5GRS_30.pdb,-4071.8914,5
5GRS_31.pdb,-3922.07826,5
5GRS_32.pdb,-3795.25511,3
5GRS_33.pdb,-4076.90138,6
5GRS_34.pdb,-3861.784,7
5GRS_35.pdb,-3746.77571,7
5GRS_36.pdb,-3904.11599,7
5GRS_37.pdb,-3875.44566,7
5GRS_38.pdb,-3751.33078,4
5GRS_39.pdb,-4048.67656,6
5GRS_4.pdb,-4066.7289,8
5GRS_40.pdb,-4115.70044,8
5GRS_41.pdb,-3535.08092,4
5GRS_42.pdb,-4060.22875,7
5GRS_43.pdb,-3629.5715,9
5GRS_44.pdb,-4105.03082,7
5GRS_45.pdb,-3901.30238,7
5GRS_46.pdb,-4213.57482,5
5GRS_47.pdb,-4171.12057,7
5GRS_48.pdb,-3904.80534,5
5GRS_49.pdb,-3920.67984,5
5GRS_5.pdb,-4063.10169,4
5GRS_50.pdb,-3969.45161,7
5GRS_6.pdb,-3976.44979,6
5GRS_7.pdb,-4071.84056,6
5GRS_8.pdb,-4073.99512,4
5GRS_9.pdb,-4189.02978,8
