structure,HADDOCK-score,correlation,atomic-clashes
6AHF_10w.pdb,-780.60568,0.8863,0
6AHF_11w.pdb,-957.4593,0.8761,0
6AHF_12w.pdb,-1138.0699,0.8712,1
6AHF_13w.pdb,-1039.0728,0.868,0
6AHF_14w.pdb,-1101.36553,0.8703,0
6AHF_15w.pdb,-996.4731,0.8718,1
6AHF_16w.pdb,-975.4018,0.8614,0
6AHF_17w.pdb,-1138.2844,0.875,0
6AHF_18w.pdb,-1026.0618,0.8773,2
6AHF_19w.pdb,-780.60568,0.8863,0
6AHF_1w.pdb,-1067.63785,0.8769,0
6AHF_20w.pdb,-1096.72401,0.8717,0
6AHF_21w.pdb,-1043.6497,0.8595,0
6AHF_22w.pdb,-1119.95087,0.8779,0
6AHF_23w.pdb,-780.60568,0.8863,0
6AHF_24w.pdb,-1110.7261,0.8709,0
6AHF_25w.pdb,-998.7854,0.8604,1
6AHF_26w.pdb,-1014.02098,0.8631,0
6AHF_27w.pdb,-1070.383,0.8735,1
6AHF_28w.pdb,-1028.2069,0.8702,0
6AHF_29w.pdb,-780.60568,0.8863,0
6AHF_2w.pdb,-981.9606,0.8744,1
6AHF_30w.pdb,-987.5894,0.8613,1
6AHF_31w.pdb,-1032.9584,0.875,1
6AHF_32w.pdb,-1046.0204,0.8803,2
6AHF_33w.pdb,-1012.3861,0.876,1
6AHF_34w.pdb,-1093.2058,0.8786,0
6AHF_35w.pdb,-1049.3869,0.8607,1
6AHF_36w.pdb,-1149.98,0.8725,1
6AHF_37w.pdb,-951.2362,0.8791,1
6AHF_38w.pdb,-1171.6618,0.8636,0
6AHF_39w.pdb,-1061.3257,0.8794,0
6AHF_3w.pdb,-1016.1184,0.8748,0
6AHF_40w.pdb,-1078.4313,0.8666,0
6AHF_41w.pdb,-1025.9038,0.8787,0
6AHF_42w.pdb,-1064.3257,0.876,1
6AHF_43w.pdb,-1032.30403,0.87,0
6AHF_44w.pdb,-780.60568,0.8863,0
6AHF_45w.pdb,-1114.4703,0.8768,0
6AHF_46w.pdb,-1091.69771,0.8743,1
6AHF_47w.pdb,-1038.0132,0.8763,0
6AHF_48w.pdb,-780.60568,0.8863,0
6AHF_49w.pdb,-1004.9597,0.8692,1
6AHF_4w.pdb,-1085.5418,0.8732,1
6AHF_50w.pdb,-1067.95391,0.8766,1
6AHF_5w.pdb,-1155.0662,0.8735,1
6AHF_6w.pdb,-780.60568,0.8863,0
6AHF_7w.pdb,-1040.7273,0.8725,0
6AHF_8w.pdb,-1021.2652,0.8792,0
6AHF_9w.pdb,-1142.69195,0.8728,0
