structure,HADDOCK-score,atomic-clashes
6AHF_1.pdb,-2075.0822,1
6AHF_10.pdb,-2162.0268,7
6AHF_11.pdb,-2481.6183,1
6AHF_12.pdb,-2376.7782,5
6AHF_13.pdb,-2485.1315,1
6AHF_14.pdb,-2363.9528,5
6AHF_15.pdb,-2694.224,4
6AHF_16.pdb,-2577.1929,4
6AHF_17.pdb,-2258.0549,4
6AHF_18.pdb,-2562.7796,0
6AHF_19.pdb,-2124.3815,3
6AHF_2.pdb,-2384.1794,3
6AHF_20.pdb,-2733.3539,3
6AHF_21.pdb,-2325.8511,8
6AHF_22.pdb,-2337.3714,3
6AHF_23.pdb,-1792.45042,4
6AHF_24.pdb,-2442.7043,4
6AHF_25.pdb,-2580.7,4
6AHF_26.pdb,-2147.944,2
6AHF_27.pdb,-2760.0354,4
6AHF_28.pdb,-1792.45042,4
6AHF_29.pdb,-2297.9923,4
6AHF_3.pdb,-2317.1934,2
6AHF_30.pdb,-2225.6452,2
6AHF_31.pdb,-2425.2978,2
6AHF_32.pdb,-2240.5401,2
6AHF_33.pdb,-2433.6819,3
6AHF_34.pdb,-2747.6136,2
6AHF_35.pdb,-2065.1487,2
6AHF_36.pdb,-1792.45042,4
6AHF_37.pdb,-1792.45042,4
6AHF_38.pdb,-2263.4922,0
6AHF_39.pdb,-2379.2657,1
6AHF_4.pdb,-2309.2432,2
6AHF_40.pdb,-2392.6844,1
6AHF_41.pdb,-2309.2,2
6AHF_42.pdb,-2423.3718,3
6AHF_43.pdb,-2094.6355,3
6AHF_44.pdb,-2257.3726,5
6AHF_45.pdb,-1792.45042,4
6AHF_46.pdb,-2059.1755,0
6AHF_47.pdb,-2407.3515,0
6AHF_48.pdb,-2339.2223,4
6AHF_49.pdb,-2401.2154,2
6AHF_5.pdb,-2437.701,1
6AHF_50.pdb,-2329.7308,2
6AHF_6.pdb,-2246.2044,2
6AHF_7.pdb,-2454.2126,0
6AHF_8.pdb,-2500.4837,5
6AHF_9.pdb,-2591.8521,1
